city,date,pm25,pm10,no2,aqi,vehicles_registered
Hyderabad,2022-05-01,43.6,100,26.8,131,2377751
Hyderabad,2022-06-01,33.7,63.7,40.3,107,2391542
Hyderabad,2022-07-01,25.5,57.8,26.4,82,2405891
Hyderabad,2022-08-01,29.1,68.6,24.7,91,2412146
Hyderabad,2022-09-01,49.8,102.7,33.6,148,2419624
Hyderabad,2022-10-01,70.1,164.4,36.7,208,2433658
Hyderabad,2022-11-01,81.1,181.5,27.3,231,2447530
Hyderabad,2022-12-01,102.3,186.9,31.4,278,2457075
Hyderabad,2023-01-01,92.5,150.8,36.6,250,2471080
Hyderabad,2023-02-01,94.3,184.3,44.3,267,2473798
Hyderabad,2023-03-01,80.1,132.3,29.3,216,2484188
Hyderabad,2023-04-01,61.3,123.1,22.8,171,2496609
Hyderabad,2023-05-01,43,84.6,41.3,132,2507095
Hyderabad,2023-06-01,28.1,66.6,31.2,92,2513864
Hyderabad,2023-07-01,26.4,50.8,33.8,85,2520651
Hyderabad,2023-08-01,27.6,65.5,40.2,95,2526953
Hyderabad,2023-09-01,49.6,101.6,40.6,151,2530238
Hyderabad,2023-10-01,53.9,126.7,28,160,2537829
Hyderabad,2023-11-01,78.5,177.5,37,229,2544427
Hyderabad,2023-12-01,103.8,196.4,28.5,282,2549007
Hyderabad,2024-01-01,95.6,187.2,27.7,262,2556909
Hyderabad,2024-02-01,91.3,217.1,33.9,265,2565347
Hyderabad,2024-03-01,92.2,206.6,42.5,268,2580226
Hyderabad,2024-04-01,62.7,118.7,35.9,180,2584354
Hyderabad,2024-05-01,49.6,91.6,27.5,141,2599602
Hyderabad,2024-06-01,33.4,67,24.9,100,2604541
Hyderabad,2024-07-01,27.4,46.8,39,89,2619387
Hyderabad,2024-08-01,31.3,54.2,31.3,95,2627769
Hyderabad,2024-09-01,47.1,91.7,43.1,144,2635652
Hyderabad,2024-10-01,64.4,132.8,32.7,186,2640396
Hyderabad,2024-11-01,68.5,147.2,25.9,195,2652278
Hyderabad,2024-12-01,103.2,223,29.7,289,2660235
Hyderabad,2025-01-01,111.8,257.5,36.6,320,2666620
Hyderabad,2025-02-01,84.1,136,40.9,231,2674353
Hyderabad,2025-03-01,88.4,141.9,40.4,241,2689329
Hyderabad,2025-04-01,66.1,158,32,196,2700086
Hyderabad,2025-05-01,51,93.3,24.7,143,2704406
Hyderabad,2025-06-01,37.8,63.5,33.9,112,2716305
Hyderabad,2025-07-01,23.9,44.2,36.1,79,2727170
Hyderabad,2025-08-01,37.4,88.1,25.5,114,2737533
Hyderabad,2025-09-01,49.6,86.8,44.6,148,2740818
Hyderabad,2025-10-01,67.3,140.1,43.6,199,2744381
Hyderabad,2025-11-01,86.3,178.6,31.4,243,2749321
Hyderabad,2025-12-01,92.9,156.6,28.4,248,2762243
Ahmedabad,2019-01-01,112.3,264.3,28.7,319,1730522
Ahmedabad,2019-02-01,98,189,33.7,271,1735887
Ahmedabad,2019-03-01,83.2,157.1,25.6,227,1745955
Ahmedabad,2019-04-01,79.9,176.2,46.1,236,1750844
Ahmedabad,2019-05-01,50.1,87.4,50.2,152,1759948
Ahmedabad,2019-06-01,41.6,67.1,38.1,123,1762588
Ahmedabad,2019-07-01,33.5,64,25.4,99,1770520
Ahmedabad,2019-08-01,36.3,72.9,27.3,108,1775477
Ahmedabad,2019-09-01,49,92.8,44.2,149,1777785
Ahmedabad,2019-10-01,65.6,109.5,44.1,187,1783118
Ahmedabad,2019-11-01,95.4,175.4,28.4,259,1789894
Ahmedabad,2019-12-01,112.6,182.6,33.3,299,1794548
Ahmedabad,2020-01-01,92.5,208.9,31.3,264,1799752
Ahmedabad,2020-02-01,89.7,150.9,34.4,243,1805511
Ahmedabad,2020-03-01,94.9,210.9,47.5,277,1808941
Ahmedabad,2020-04-01,69.3,155.6,46.4,209,1819252
Ahmedabad,2020-05-01,51.8,103.8,44.3,157,1826529
Ahmedabad,2020-06-01,42.3,93.7,26,126,1828903
Ahmedabad,2020-07-01,32.3,61,41.6,104,1833841
Ahmedabad,2020-08-01,32.1,59.1,25.6,95,1836775
Ahmedabad,2020-09-01,52.9,117.3,38.8,161,1842102
Ahmedabad,2020-10-01,71.6,121.5,43.3,202,1846523
Ahmedabad,2020-11-01,90.4,179,47.2,259,1849477
Ahmedabad,2020-12-01,96.8,156.9,36.5,261,1857060
Ahmedabad,2021-01-01,118.3,244.1,39.3,331,1863560
Ahmedabad,2021-02-01,107.6,200.6,28,291,1873996
Ahmedabad,2021-03-01,88.9,203.1,31.6,255,1882804
Ahmedabad,2021-04-01,78.6,149.3,33.9,220,1890335
Ahmedabad,2021-05-01,46.5,86.8,36.3,138,1895250
Ahmedabad,2021-06-01,42.7,100.2,29.6,130,1904347
Ahmedabad,2021-07-01,29.5,67.7,34.9,97,1906823
Ahmedabad,2021-08-01,40.1,85.4,33.5,123,1917120
Ahmedabad,2021-09-01,48,83.1,48.9,146,1925364
Ahmedabad,2021-10-01,70.8,136.4,48.3,207,1934221
Ahmedabad,2021-11-01,78.1,157.2,28.9,219,1939057
Ahmedabad,2021-12-01,88.9,212.5,29.3,256,1950691
Ahmedabad,2022-01-01,123.7,269.7,26.4,342,1957518
Ahmedabad,2022-02-01,116.1,276.6,41.4,336,1960650
Ahmedabad,2022-03-01,80.6,165.6,26.7,225,1965552
Ahmedabad,2022-04-01,80.2,188.3,29,232,1971645
Ahmedabad,2022-05-01,56.7,113.8,41.6,169,1975785
Ahmedabad,2022-06-01,36,60.7,29.2,105,1985269
Ahmedabad,2022-07-01,35.8,79.3,28.5,110,1987651
Ahmedabad,2022-08-01,32.1,70.8,34.7,103,1992421
Ahmedabad,2022-09-01,52.2,121,25.4,154,2002782
Ahmedabad,2022-10-01,66.4,154.7,31.6,195,2009591
Ahmedabad,2022-11-01,90.3,213.8,37.3,264,2015419
Ahmedabad,2022-12-01,189.3,370.5,35.9,500,2024287
Ahmedabad,2023-01-01,103.5,206,30.5,285,2034408
Ahmedabad,2023-02-01,118.1,228.3,30,321,2039494
Ahmedabad,2023-03-01,88.1,194.2,43,256,2051323
Ahmedabad,2023-04-01,77.4,153.8,43.2,223,2062195
Ahmedabad,2023-05-01,50.8,83.5,37.7,146,2070650
Ahmedabad,2023-06-01,37.3,82.7,34.4,117,2077690
Ahmedabad,2023-07-01,31.6,57.2,37,99,2087247
Ahmedabad,2023-08-01,36.2,68.5,48.9,118,2089543
Ahmedabad,2023-09-01,43.8,84.8,38.7,133,2101662
Ahmedabad,2023-10-01,75.4,163.5,48.6,225,2111330
Ahmedabad,2023-11-01,89.9,187,36.7,255,2118509
Ahmedabad,2023-12-01,91.1,206.2,29.3,259,2124229
Ahmedabad,2024-01-01,100,163.1,41.3,271,2129540
Ahmedabad,2024-02-01,88.3,199.1,36.4,255,2135290
Ahmedabad,2024-03-01,98.3,217,48.9,287,2142977
Ahmedabad,2024-04-01,61.4,121.5,27.9,174,2151978
Ahmedabad,2024-05-01,48,77.3,35,138,2164244
Ahmedabad,2024-06-01,41.4,89.9,45.5,133,2166841
Ahmedabad,2024-07-01,30,55.2,38.2,96,2171825
Ahmedabad,2024-08-01,33.9,62.5,37,105,2178558
Ahmedabad,2024-09-01,55.3,108.3,26.9,157,2184658
Ahmedabad,2024-10-01,64.1,131.5,34.8,186,2193834
Ahmedabad,2024-11-01,82.9,187,44.8,245,2202609
Ahmedabad,2024-12-01,89.2,147,35.6,242,2210759
Ahmedabad,2025-01-01,92.1,191.8,50.3,268,2214959
Ahmedabad,2025-02-01,95.4,205.9,49.1,278,2224040
Ahmedabad,2025-03-01,91.9,184.9,37.5,259,2226486
Ahmedabad,2025-04-01,60.1,135.4,38.8,180,2234056
Ahmedabad,2025-05-01,47.7,101.5,43.1,148,2236960
Ahmedabad,2025-06-01,36.7,71.8,44.3,118,2249934
Ahmedabad,2025-07-01,34.1,65,26.4,101,2260284
Ahmedabad,2025-08-01,32.8,65.1,43.5,107,2265709
Ahmedabad,2025-09-01,56.7,91.6,30.8,157,2270694
Ahmedabad,2025-10-01,59.2,115.6,28.2,168,2274554
Ahmedabad,2025-11-01,90.4,163.1,29.5,246,2285017
Ahmedabad,2025-12-01,95.4,203.2,30.1,268,2293929
Pune,2019-01-01,97.8,188.5,40.7,274,5298326
Pune,2019-02-01,85.5,167.8,37.2,241,5313161
Pune,2019-03-01,73.8,176.2,30.5,216,5334414
Pune,2019-04-01,61.3,99.4,29.4,168,5355752
Pune,2019-05-01,43.5,87.3,41.7,135,5380388
Pune,2019-06-01,31.9,51.5,36.5,98,5405676
Pune,2019-07-01,32.6,58.6,36.9,102,5429461
Pune,2019-08-01,34.7,80,37,112,5450636
Pune,2019-09-01,47.5,81.6,41.9,141,5468078
Pune,2019-10-01,72.4,124.8,29.9,198,5486669
Pune,2019-11-01,79.1,129.7,39.6,218,5510262
Pune,2019-12-01,88.6,154.2,41.9,246,5523487
Pune,2020-01-01,92.7,180,25.5,253,5529563
Pune,2020-02-01,88.8,209.6,36.5,259,5545046
Pune,2020-03-01,88,153.7,26.8,237,5574435
Pune,2020-04-01,68.8,122,28.1,189,5585026
Pune,2020-05-01,47.3,111.2,32,144,5598430
Pune,2020-06-01,38.7,64.5,42.1,119,5620264
Pune,2020-07-01,26.8,54.2,43.8,92,5645555
Pune,2020-08-01,33.2,56.9,28.6,98,5651201
Pune,2020-09-01,44.7,76.8,23.1,125,5663069
Pune,2020-10-01,55.1,122.2,31.5,163,5669865
Pune,2020-11-01,86,197.4,24,244,5680638
Pune,2020-12-01,87.3,192.7,29.6,248,5689159
Pune,2021-01-01,83.3,161.6,34.6,233,5708502
Pune,2021-02-01,103.6,208.6,23.4,283,5740470
Pune,2021-03-01,88,169.9,34.8,245,5748507
Pune,2021-04-01,64.8,139.3,33.9,189,5776675
Pune,2021-05-01,48.6,81.1,28.7,137,5803248
Pune,2021-06-01,32.3,72.4,35.4,104,5836907
Pune,2021-07-01,24.2,48.1,35.2,81,5869594
Pune,2021-08-01,30.9,54.5,27.9,93,5889551
Pune,2021-09-01,49.7,94.8,45,151,5903686
Pune,2021-10-01,62.1,107.6,42.5,179,5914313
Pune,2021-11-01,79.5,159.9,26.6,221,5929099
Pune,2021-12-01,106.3,176.4,41.8,288,5949851
Pune,2022-01-01,96,229.3,28.9,276,5975435
Pune,2022-02-01,103,211.3,40.8,291,5999337
Pune,2022-03-01,94.7,206.2,30,267,6017335
Pune,2022-04-01,61.6,146.3,32.5,183,6052236
Pune,2022-05-01,39.4,89.3,29.7,121,6063735
Pune,2022-06-01,28.2,56.4,43.4,95,6087384
Pune,2022-07-01,32,51.6,45.6,103,6108690
Pune,2022-08-01,31.1,73.4,27.4,98,6136790
Pune,2022-09-01,44.6,105.8,32,137,6170542
Pune,2022-10-01,53.6,127.3,23.1,157,6190288
Pune,2022-11-01,74.7,162.5,43.7,221,6197097
Pune,2022-12-01,89.2,206.6,43.3,262,6231181
Pune,2023-01-01,104.1,204.8,32.1,287,6260468
Pune,2023-02-01,105.4,173.6,34.6,282,6294901
Pune,2023-03-01,70.4,119,43.7,199,6326376
Pune,2023-04-01,70.2,114.3,39.3,196,6345988
Pune,2023-05-01,40.9,94.5,42.3,132,6360584
Pune,2023-06-01,33.1,76.4,32.8,106,6393023
Pune,2023-07-01,32.6,69.4,34.9,104,6424988
Pune,2023-08-01,35.2,75.9,37,112,6448118
Pune,2023-09-01,51.8,119.5,32.4,156,6471976
Pune,2023-10-01,65,130.7,26.7,183,6479742
Pune,2023-11-01,84.3,192.6,25.1,239,6490110
Pune,2023-12-01,104.2,171.2,41.8,282,6504388
Pune,2024-01-01,109.9,234.8,24.9,303,6527153
Pune,2024-02-01,83.6,199.1,24.3,239,6561747
Pune,2024-03-01,77.6,160.9,26.2,217,6568965
Pune,2024-04-01,72.3,119.5,29.4,196,6576848
Pune,2024-05-01,43.9,82.4,23.3,125,6616309
Pune,2024-06-01,38.5,88.4,33.4,120,6634173
Pune,2024-07-01,26.7,47.6,44.6,90,6647441
Pune,2024-08-01,31.5,73.4,31.7,101,6654753
Pune,2024-09-01,39,72,31.2,116,6662073
Pune,2024-10-01,57.1,131,46,177,6691386
Pune,2024-11-01,86.8,168.1,40.8,245,6724843
Pune,2024-12-01,91.8,147.2,26.5,243,6745690
Pune,2025-01-01,97.5,210.9,43.4,281,6763229
Pune,2025-02-01,86.2,197.5,26.7,245,6795692
Pune,2025-03-01,76.5,164.3,28,217,6818797
Pune,2025-04-01,96.4,174.5,25.3,259,6852209
Pune,2025-05-01,41.1,81.6,26.6,120,6885100
Pune,2025-06-01,37.5,86.3,43.4,123,6911952
Pune,2025-07-01,25.2,57.2,23.8,79,6947894
Pune,2025-08-01,36.4,69.6,28.4,108,6972212
Pune,2025-09-01,46.4,87.9,26.4,133,7006376
Pune,2025-10-01,55.1,125.8,41.7,169,7045612
Pune,2025-11-01,72.7,144.5,25.9,202,7072385
Pune,2025-12-01,104.3,212.7,43.3,295,7098553
Jaipur,2019-01-01,114.6,198,29.2,305,4537550
Jaipur,2019-02-01,102.8,228.6,40.3,295,4545718
Jaipur,2019-03-01,86.7,182.6,32.7,245,4566174
Jaipur,2019-04-01,65.9,154.3,49.3,203,4583069
Jaipur,2019-05-01,48.9,103.8,50.5,155,4597277
Jaipur,2019-06-01,31.4,69,36.4,102,4605092
Jaipur,2019-07-01,33.2,70.9,49.5,113,4628117
Jaipur,2019-08-01,33.1,55,27.5,97,4645704
Jaipur,2019-09-01,45.3,102.4,43.3,143,4657318
Jaipur,2019-10-01,65.2,152.9,26.6,190,4682468
Jaipur,2019-11-01,88.8,161,29.3,242,4707285
Jaipur,2019-12-01,119.6,232,35.6,328,4722819
Jaipur,2020-01-01,97.3,177.1,51.3,275,4734626
Jaipur,2020-02-01,89.6,185.8,43.5,257,4745042
Jaipur,2020-03-01,101,230.9,42.2,293,4770665
Jaipur,2020-04-01,62.6,104.3,35.3,175,4789271
Jaipur,2020-05-01,54.3,122.2,26.7,159,4813217
Jaipur,2020-06-01,43,88.6,47.8,137,4821881
Jaipur,2020-07-01,26.9,45.5,39.8,88,4827667
Jaipur,2020-08-01,32,70.5,30.4,101,4837322
Jaipur,2020-09-01,46.8,107.4,51,152,4861025
Jaipur,2020-10-01,69.4,143.3,47.9,206,4878525
Jaipur,2020-11-01,89.5,160.8,48.2,253,4884379
Jaipur,2020-12-01,89.9,161.1,28.5,244,4894636
Jaipur,2021-01-01,119.2,220.4,49.6,331,4903936
Jaipur,2021-02-01,97.7,225.5,35.1,281,4919138
Jaipur,2021-03-01,79,183.5,26.6,227,4934387
Jaipur,2021-04-01,72,161,42.6,214,4957579
Jaipur,2021-05-01,49.6,81.7,46.4,148,4975426
Jaipur,2021-06-01,31.7,71.5,26.2,98,4995825
Jaipur,2021-07-01,36.8,78.7,37.7,116,5003818
Jaipur,2021-08-01,41.8,84.4,48.2,133,5013826
Jaipur,2021-09-01,44.1,80,40.1,133,5040901
Jaipur,2021-10-01,61.3,131.3,41.8,183,5060561
Jaipur,2021-11-01,84.2,151.6,37.6,234,5088394
Jaipur,2021-12-01,116.9,202.8,38.3,316,5110783
Jaipur,2022-01-01,121.8,253.2,34,338,5130715
Jaipur,2022-02-01,97.4,204.2,36.8,275,5148673
Jaipur,2022-03-01,94.1,211.3,35.4,270,5177506
Jaipur,2022-04-01,78.9,159.9,41.7,227,5189414
Jaipur,2022-05-01,52.2,97.8,49.5,159,5219513
Jaipur,2022-06-01,42.4,87.7,30.9,127,5250308
Jaipur,2022-07-01,27.1,64.3,51.2,99,5258183
Jaipur,2022-08-01,40.6,93.4,28.2,123,5278690
Jaipur,2022-09-01,53.8,109.1,43.5,163,5297693
Jaipur,2022-10-01,82.5,155,36.1,231,5310937
Jaipur,2022-11-01,77.5,163.2,35.5,222,5333243
Jaipur,2022-12-01,116.5,187.6,45.5,314,5359376
Jaipur,2023-01-01,111.3,244.3,50.1,322,5380814
Jaipur,2023-02-01,111.8,226.6,28.1,307,5389423
Jaipur,2023-03-01,94.2,180.2,30.1,259,5410981
Jaipur,2023-04-01,66.7,132.4,44.4,196,5425591
Jaipur,2023-05-01,49.1,101.1,33.3,146,5458145
Jaipur,2023-06-01,39.3,92.2,28.8,121,5481069
Jaipur,2023-07-01,36.2,78.8,39.2,116,5503541
Jaipur,2023-08-01,33.1,61.2,49.2,110,5523354
Jaipur,2023-09-01,58.4,97.8,50,172,5541029
Jaipur,2023-10-01,62,116.4,30.2,175,5550449
Jaipur,2023-11-01,80.9,186,25.7,231,5582087
Jaipur,2023-12-01,113.9,222.5,40.6,316,5589344
Jaipur,2024-01-01,120.2,221.1,32,324,5619526
Jaipur,2024-02-01,104.5,177,43,285,5631889
Jaipur,2024-03-01,80.3,145.3,28.5,220,5654417
Jaipur,2024-04-01,78.9,179.7,35.2,230,5665726
Jaipur,2024-05-01,53.8,127.3,44.6,168,5698021
Jaipur,2024-06-01,34.5,70.8,39.2,110,5709987
Jaipur,2024-07-01,28.1,47.7,27.4,85,5719123
Jaipur,2024-08-01,36.3,80.1,29.3,111,5750006
Jaipur,2024-09-01,50.7,106.4,33.3,150,5766106
Jaipur,2024-10-01,81.5,175.4,45.1,239,5778791
Jaipur,2024-11-01,84.4,155.7,45,239,5809996
Jaipur,2024-12-01,105.7,203.3,44.9,296,5843694
Jaipur,2025-01-01,119.3,211.4,43.7,326,5849538
Jaipur,2025-02-01,93,205.1,46.9,271,5858312
Jaipur,2025-03-01,102,218.9,39.7,290,5873544
Jaipur,2025-04-01,80.6,180.4,38.2,235,5879418
Jaipur,2025-05-01,52.9,90.2,43.9,156,5904699
Jaipur,2025-06-01,39.5,94.1,30.2,122,5914737
Jaipur,2025-07-01,36.4,83.8,47.8,122,5937213
Jaipur,2025-08-01,41.7,84.6,35.7,127,5945525
Jaipur,2025-09-01,43.6,70.9,44.6,131,5959794
Jaipur,2025-10-01,73,125.8,43.9,207,5993765
Jaipur,2025-11-01,82,141.6,49,232,6014144
Jaipur,2025-12-01,90.9,191.3,50.6,265,6043613
