bridge_id,nh_number,state,span_m,year_built,last_inspection,ibms_rating,traffic_pcu,repair_cost_cr
IBMS-10017,NH-30,Tamil Nadu,909.8,1978,2024-12-27,31.7,75179,119.18
IBMS-10399,NH-48,Uttarakhand,699.6,1988,2025-05-02,34.6,63907,84.32
IBMS-10380,NH-33,Karnataka,255.6,1959,2025-07-22,53,62381,36.33
IBMS-10452,NH-27,Bihar,190.8,1969,2024-03-10,20.5,90756,44.16
IBMS-10226,NH-66,Odisha,584.1,1984,2025-07-12,51.1,24942,90.94
IBMS-10080,NH-6,Maharashtra,851.2,1999,2024-11-05,28.3,39211,144.4
IBMS-10193,NH-48,Punjab,424.9,1977,2023-07-10,71.3,25640,12.52
IBMS-10456,NH-48,Madhya Pradesh,67.5,1991,2024-10-02,28.5,22730,5.11
IBMS-10287,NH-16,Uttar Pradesh,325.3,2001,2025-04-16,25.6,9241,76.96
IBMS-10038,NH-6,Chhattisgarh,126.7,1982,2025-04-27,23.1,25552,12.8
IBMS-10154,NH-52,Kerala,849.7,1984,2023-05-26,44.9,57405,76.6
IBMS-10115,NH-66,Kerala,168.7,1978,2023-11-13,66.5,60146,11.99
IBMS-10212,NH-66,Bihar,146.9,1993,2025-09-01,62.9,56013,8.91
IBMS-10192,NH-19,Punjab,1007,1994,2024-02-05,46.3,39486,71.38
IBMS-10091,NH-33,Bihar,818.5,1972,2024-02-27,74,63007,19.54
IBMS-10393,NH-16,Punjab,50.1,1966,2022-04-21,36.5,16102,10.48
IBMS-10058,NH-48,Tamil Nadu,848.1,1994,2025-12-10,34.7,24363,143.71
IBMS-10214,NH-44,Madhya Pradesh,542.2,1983,2022-09-07,70.3,60777,34.62
IBMS-10495,NH-52,Madhya Pradesh,1197.7,2011,2022-06-08,95.2,36244,13.14
IBMS-10000,NH-52,Maharashtra,145.1,1968,2022-03-22,67.3,96101,10.16
IBMS-10431,NH-6,Assam,285.2,1971,2023-11-20,41.7,36675,23.19
IBMS-10329,NH-33,Uttar Pradesh,123.3,1971,2025-11-12,42.1,26563,13.51
IBMS-10492,NH-52,Bihar,345.9,2021,2023-11-10,81.2,6784,16.58
IBMS-10337,NH-27,Tamil Nadu,270.9,1980,2023-11-18,49.7,46456,38.73
IBMS-10149,NH-48,Jharkhand,757,1965,2022-04-01,32.7,5848,84.16
IBMS-10426,NH-16,Odisha,351.2,1962,2025-05-19,60.9,7807,44.02
IBMS-10374,NH-16,Madhya Pradesh,907.6,1995,2025-05-16,40.1,44435,114.11
IBMS-10006,NH-6,Rajasthan,955.7,1966,2023-10-11,21.5,59603,244.95
IBMS-10018,NH-27,Tamil Nadu,475.9,1997,2025-04-19,24.8,24076,68.86
IBMS-10203,NH-44,Maharashtra,525.6,1963,2023-12-20,28.2,60897,112.65
IBMS-10414,NH-48,Madhya Pradesh,1043,1981,2024-09-17,43,43345,155.82
IBMS-10225,NH-48,Gujarat,988.2,1967,2023-12-18,40.4,18533,183.52
IBMS-10135,NH-16,Madhya Pradesh,629.6,2000,2024-07-15,68.8,94381,21.49
IBMS-10065,NH-30,Gujarat,387.8,1972,2025-09-04,49.8,91027,42.13
IBMS-10216,NH-27,Madhya Pradesh,1035.7,1961,2023-10-27,51.5,25067,86.85
IBMS-10402,NH-48,Maharashtra,28.8,1966,2024-11-02,46.6,70901,4.59
IBMS-10142,NH-66,Karnataka,810.7,1997,2024-03-20,21.5,6360,102.84
IBMS-10005,NH-16,Rajasthan,401.5,1967,2023-10-04,48.1,72978,69.79
IBMS-10460,NH-66,Karnataka,751.4,1963,2022-12-03,74.2,68125,29.97
IBMS-10222,NH-48,Karnataka,1002.9,1993,2023-06-26,56,56441,111.47
IBMS-10407,NH-16,Uttar Pradesh,1211.5,1981,2022-11-05,30.8,30112,264.33
IBMS-10062,NH-19,Karnataka,829.5,1978,2023-12-14,68.2,18853,63.97
IBMS-10475,NH-6,Kerala,844,1998,2022-08-12,92.7,32955,6.04
IBMS-10325,NH-6,Rajasthan,936.9,2000,2022-12-25,28,6084,221.19
IBMS-10506,NH-66,Odisha,277.8,2021,2024-04-08,77.5,22241,17.63
IBMS-10164,NH-27,Rajasthan,804.9,1995,2022-04-03,69.2,71132,31.73
IBMS-10215,NH-48,Madhya Pradesh,1002.7,2002,2025-07-20,25.1,48911,247.69
IBMS-10369,NH-44,Uttar Pradesh,827.4,1983,2024-08-25,52.8,36410,111.85
IBMS-10357,NH-16,Andhra Pradesh,503.2,2002,2022-04-19,26.8,53377,72.08
IBMS-10300,NH-48,Karnataka,864.3,1967,2025-08-02,45.5,76491,116.63
IBMS-10252,NH-6,Bihar,944.1,1984,2024-08-19,70.6,79433,88.35
IBMS-10442,NH-19,Maharashtra,1072.9,1965,2023-07-28,55.8,25748,64.92
IBMS-10321,NH-66,Maharashtra,140.1,1958,2022-03-11,67.7,2774,14.88
IBMS-10387,NH-27,Odisha,693.4,1995,2022-11-06,20.2,74392,148.02
IBMS-10338,NH-33,Tamil Nadu,790.5,1988,2024-01-12,37.1,18312,162.89
IBMS-10261,NH-16,Karnataka,542.3,1992,2024-01-01,25.3,33273,115.9
IBMS-10177,NH-33,Tamil Nadu,103.9,1970,2024-08-22,25.9,8466,15.08
IBMS-10377,NH-6,Tamil Nadu,655.4,1983,2025-05-10,61,3044,47.9
IBMS-10516,NH-27,Andhra Pradesh,853.2,2015,2022-02-01,79.1,75948,46.67
IBMS-10117,NH-44,Andhra Pradesh,1113.9,1986,2024-03-16,40.8,91237,197.7
IBMS-10282,NH-19,Maharashtra,822.4,1972,2025-08-09,44.7,8386,151.35
IBMS-10363,NH-16,Maharashtra,431.3,1988,2022-05-25,31.5,45289,72.29
IBMS-10383,NH-19,Gujarat,195.7,1993,2023-03-12,42.8,95559,10.2
IBMS-10303,NH-52,Gujarat,915.4,1978,2023-01-13,31.3,77741,208.35
IBMS-10285,NH-66,Rajasthan,613.5,1997,2025-12-25,36.8,87439,47.03
IBMS-10390,NH-27,Assam,916.4,1971,2024-07-16,61.6,54076,35.33
IBMS-10284,NH-33,Rajasthan,113,1981,2022-10-21,59.2,70686,15.28
IBMS-10163,NH-66,Maharashtra,60.7,1983,2022-08-06,41.2,19752,8.81
IBMS-10317,NH-6,Andhra Pradesh,736,1963,2025-06-10,20,38207,107.57
IBMS-10365,NH-30,Rajasthan,210.2,1966,2023-08-21,20,97223,19.49
IBMS-10453,NH-27,Bihar,605.8,1967,2022-10-25,24.5,65994,68.7
IBMS-10075,NH-44,Kerala,430.2,1984,2024-11-03,66.3,13609,16.22
IBMS-10029,NH-6,Jharkhand,349.4,1998,2023-01-18,31.7,86464,74.91
IBMS-10251,NH-33,Bihar,520.6,1964,2024-08-10,70.4,25267,31.85
IBMS-10102,NH-48,Karnataka,1227.4,1999,2025-10-07,44.8,94574,101.83
IBMS-10513,NH-19,Punjab,76,2007,2024-07-05,89.2,65913,2.73
IBMS-10397,NH-19,Andhra Pradesh,640.2,2002,2024-03-01,35.5,21435,99.6
IBMS-10079,NH-27,Uttarakhand,560,1977,2025-04-06,35.2,47802,73.52
IBMS-10518,NH-52,Chhattisgarh,41.7,1999,2025-08-18,80.5,67285,2.69
IBMS-10113,NH-44,Punjab,160.4,1959,2024-04-11,60.5,53340,19.56
IBMS-10490,NH-27,Uttar Pradesh,296.7,2019,2023-09-20,83.1,16555,14.77
IBMS-10450,NH-27,Uttar Pradesh,1132.3,1973,2023-07-14,24.3,33346,126.69
IBMS-10432,NH-66,Punjab,473.9,1993,2023-06-15,68.7,33803,13.57
IBMS-10127,NH-30,Uttar Pradesh,921.1,1960,2025-08-24,27.4,54173,207.57
IBMS-10150,NH-33,Assam,991.8,2004,2025-07-10,33.3,22592,144.08
IBMS-10093,NH-44,Bihar,654.7,1975,2025-10-26,73.2,89844,38.18
IBMS-10001,NH-52,Maharashtra,1075.1,1971,2024-06-13,20.9,71480,241.68
IBMS-10023,NH-33,Gujarat,1229.7,1987,2025-11-02,31.4,77274,157.07
IBMS-10257,NH-66,Tamil Nadu,226.8,1989,2024-10-10,41.2,57987,31.05
IBMS-10406,NH-30,Rajasthan,1020,2003,2022-01-09,57.2,57429,89.89
IBMS-10424,NH-27,Gujarat,669.7,1963,2025-01-04,45.9,63609,116.37
IBMS-10070,NH-66,Assam,603.3,1999,2024-03-13,72.5,7544,19.88
IBMS-10183,NH-44,Gujarat,1059.8,1993,2023-05-15,34.9,41761,198.22
IBMS-10243,NH-44,Maharashtra,1189.8,2004,2022-06-10,24.8,39400,212.77
IBMS-10195,NH-44,Kerala,1178.6,1990,2024-11-08,64,33437,105.1
IBMS-10103,NH-52,Gujarat,786.2,1999,2022-02-13,36.8,75949,124.22
IBMS-10370,NH-6,Uttar Pradesh,630.7,1989,2023-02-09,32.2,54015,104.51
IBMS-10451,NH-27,Bihar,797.3,2000,2022-01-22,19,5179,148.21
IBMS-10445,NH-30,Rajasthan,603.4,1962,2025-08-22,50.9,49409,33.06
IBMS-10014,NH-52,Madhya Pradesh,199.1,1999,2025-11-20,63.4,62448,16.9
IBMS-10022,NH-19,Karnataka,516.7,1971,2022-03-23,23.6,79378,66.75
IBMS-10089,NH-6,Uttar Pradesh,758.9,1966,2024-01-10,24.5,32997,157.34
IBMS-10270,NH-33,Assam,690.9,1995,2025-08-10,53.6,56806,96.4
IBMS-10455,NH-30,Madhya Pradesh,1216.6,1986,2025-11-26,59.3,93261,79.82
IBMS-10143,NH-19,Gujarat,1169.2,1968,2024-03-16,56.1,78628,63.49
IBMS-10187,NH-44,Odisha,161.2,2004,2024-04-20,50.3,52467,7.65
IBMS-10494,NH-27,Madhya Pradesh,204.1,2018,2022-01-15,88.8,28381,2.26
IBMS-10417,NH-19,Tamil Nadu,591.5,1986,2023-01-25,58.1,39684,46.64
IBMS-10386,NH-33,Odisha,133.1,1985,2025-09-04,56.2,71890,5.7
IBMS-10385,NH-6,Gujarat,90.4,1979,2025-04-22,73.7,91272,4.52
IBMS-10315,NH-19,Kerala,694.1,1983,2025-10-10,56.6,41519,64.47
IBMS-10500,NH-52,Karnataka,707.7,2004,2022-08-12,85.4,72065,27.53
IBMS-10122,NH-30,Maharashtra,377.4,1986,2023-06-04,69.2,14052,38.58
IBMS-10395,NH-30,Kerala,439.8,1970,2022-12-10,39.4,29259,46.91
IBMS-10247,NH-6,Uttar Pradesh,819.9,1965,2023-07-24,67.2,84874,44.1
IBMS-10121,NH-19,Maharashtra,600,1997,2022-09-13,29,11754,142.88
IBMS-10057,NH-52,Tamil Nadu,855.7,1989,2024-12-26,33.7,60300,51.74
IBMS-10436,NH-66,Andhra Pradesh,721.2,2004,2023-08-10,33.7,78338,127.33
IBMS-10218,NH-44,Tamil Nadu,620.8,2003,2024-05-22,52.8,84837,26.4
IBMS-10479,NH-30,Uttarakhand,190.7,2016,2022-01-27,80.4,73542,6.03
IBMS-10427,NH-48,Odisha,227.2,1962,2023-06-05,74.3,64690,18.15
IBMS-10165,NH-6,Rajasthan,983.2,1993,2025-05-19,53.8,5042,147.08
IBMS-10477,NH-52,Andhra Pradesh,571.4,2011,2024-11-17,94.3,82707,9.97
IBMS-10405,NH-30,Rajasthan,241.3,1977,2022-03-07,26.4,32613,31.65
IBMS-10207,NH-52,Uttar Pradesh,468.1,1966,2024-09-10,20.6,89732,63.22
IBMS-10301,NH-52,Karnataka,879.9,1995,2023-05-28,51.6,66748,75.34
IBMS-10104,NH-48,Gujarat,811.5,1965,2023-11-26,57.1,92364,105.03
IBMS-10160,NH-6,Maharashtra,569.4,1979,2025-08-14,73.7,14257,32.89
IBMS-10140,NH-16,Karnataka,491.7,1973,2022-07-24,25.3,4256,115.88
IBMS-10281,NH-52,Maharashtra,343.6,1982,2022-05-24,64,88070,29.04
IBMS-10002,NH-16,Maharashtra,302.4,2001,2023-02-27,23.9,82961,45.96
IBMS-10428,NH-6,Jharkhand,764.1,1987,2023-04-23,35.8,81067,101.79
IBMS-10375,NH-6,Madhya Pradesh,354.4,1971,2023-01-18,55.8,82389,31.81
IBMS-10394,NH-33,Kerala,860.5,1981,2024-06-08,58.4,82584,60.32
IBMS-10446,NH-44,Rajasthan,153.2,1981,2022-07-25,64.6,66957,12.95
IBMS-10233,NH-30,Punjab,469.9,1994,2022-01-11,72.3,56383,14.96
IBMS-10236,NH-19,Andhra Pradesh,488.5,1983,2022-05-14,65.5,51482,44.39
IBMS-10401,NH-19,Maharashtra,356.7,1984,2023-10-10,32.2,24325,34.44
IBMS-10308,NH-52,Jharkhand,709.6,1976,2024-10-28,37.8,78732,40.92
IBMS-10118,NH-33,Chhattisgarh,992.4,1963,2022-10-07,23.7,5460,232.61
IBMS-10316,NH-30,Andhra Pradesh,679.3,1989,2024-08-12,64.2,52201,63.98
IBMS-10379,NH-44,Tamil Nadu,844.8,1985,2025-02-11,57.6,59337,82.13
IBMS-10148,NH-48,Jharkhand,774.7,2002,2025-11-22,21.4,50890,184.68
IBMS-10259,NH-52,Tamil Nadu,113.6,1969,2022-01-05,31,75915,26.11
IBMS-10188,NH-33,Jharkhand,919.3,2003,2022-05-26,38.6,81242,76.6
IBMS-10141,NH-27,Karnataka,498.1,1983,2023-04-25,31.3,41119,58.79
IBMS-10008,NH-33,Uttar Pradesh,71.4,1996,2024-09-20,52.8,15129,6.81
IBMS-10457,NH-52,Tamil Nadu,913.2,1994,2024-06-02,71.3,47982,75.01
IBMS-10156,NH-52,Andhra Pradesh,821.9,1975,2025-02-12,55.6,9473,92.14
IBMS-10016,NH-33,Madhya Pradesh,892,1978,2023-02-06,23.5,44060,225.59
IBMS-10511,NH-6,Assam,1079.1,2019,2025-11-17,95.3,74640,13.4
IBMS-10429,NH-27,Jharkhand,531.8,1978,2022-03-21,56.1,8664,60.44
IBMS-10099,NH-52,Tamil Nadu,654.4,1980,2022-03-23,48.1,37922,79.3
IBMS-10364,NH-30,Rajasthan,1087,1966,2023-06-02,51.5,80095,152.94
IBMS-10209,NH-48,Uttar Pradesh,57.9,1990,2025-06-28,36.8,43327,4.86
IBMS-10019,NH-48,Tamil Nadu,1019.2,2002,2022-04-02,22,93514,149.53
IBMS-10116,NH-27,Andhra Pradesh,484.6,1964,2023-01-21,27.5,16279,89.49
IBMS-10327,NH-19,Uttar Pradesh,883.7,1968,2022-09-04,70.4,24944,33.19
IBMS-10422,NH-19,Karnataka,245.8,1981,2024-06-01,62.6,46603,16.24
IBMS-10361,NH-52,Maharashtra,134.5,1985,2025-07-25,73.1,19760,12.09
IBMS-10244,NH-52,Rajasthan,471.2,1977,2025-09-23,63.1,84833,34.58
IBMS-10517,NH-27,Andhra Pradesh,1195.9,2002,2025-11-17,82.7,66998,31.41
IBMS-10027,NH-52,Odisha,920.4,2000,2022-01-12,60.4,75154,67.14
IBMS-10166,NH-33,Rajasthan,1093.1,1965,2025-04-17,45.6,74800,83.37
IBMS-10096,NH-30,Madhya Pradesh,565.2,1964,2025-04-28,27.4,53701,56.09
IBMS-10323,NH-48,Maharashtra,609.4,1960,2024-02-27,28.1,68981,98.67
IBMS-10389,NH-30,Jharkhand,343.8,1975,2022-07-22,41.4,35037,45.47
IBMS-10224,NH-19,Gujarat,162.9,1962,2022-08-04,64.7,65776,11.4
IBMS-10128,NH-48,Uttar Pradesh,1005.1,1963,2024-06-22,35.7,39282,141.41
IBMS-10064,NH-66,Gujarat,685.7,1989,2023-04-28,58.1,63745,62.78
IBMS-10081,NH-44,Maharashtra,812.4,1972,2022-11-18,34.2,12181,133.48
IBMS-10449,NH-48,Uttar Pradesh,1041.9,1998,2025-10-02,47.6,33664,65.9
IBMS-10392,NH-30,Punjab,576.2,1960,2025-08-13,51,15084,70.73
IBMS-10461,NH-19,Karnataka,545.8,1969,2025-02-07,38.3,85346,32.36
IBMS-10454,NH-48,Madhya Pradesh,951.7,1969,2023-05-18,47.4,23759,135.96
IBMS-10056,NH-66,Madhya Pradesh,280.9,1977,2024-07-09,69.7,16915,20.75
IBMS-10258,NH-66,Tamil Nadu,1140.2,1989,2025-06-26,54.4,33061,87.66
IBMS-10384,NH-27,Gujarat,37.2,1976,2025-06-28,51.8,5459,2.69
IBMS-10318,NH-44,Chhattisgarh,64.2,1997,2024-11-01,22,90609,12.84
IBMS-10219,NH-33,Tamil Nadu,1134.8,2002,2022-07-05,47.2,43455,134.1
IBMS-10011,NH-33,Bihar,1121.2,1986,2022-06-11,49,54695,64.21
IBMS-10430,NH-30,Assam,451.6,1974,2023-12-20,73.2,45538,16.65
IBMS-10305,NH-30,Gujarat,399.1,1984,2025-06-23,64.2,29796,44.26
IBMS-10082,NH-48,Maharashtra,837.6,1960,2024-02-04,24.8,56741,89.38
IBMS-10066,NH-44,Odisha,66.5,1973,2025-01-06,27.2,9607,13.31
IBMS-10112,NH-19,Punjab,1178.4,1976,2022-01-12,52.1,56143,157.43
IBMS-10448,NH-33,Uttar Pradesh,135.1,1986,2024-03-18,64.9,67013,9.57
IBMS-10263,NH-52,Gujarat,1103.9,1969,2022-01-03,18.8,55854,183.93
IBMS-10266,NH-30,Odisha,1112.3,1959,2025-05-23,63.8,81367,98.77
IBMS-10255,NH-52,Madhya Pradesh,774.5,1974,2025-08-15,18.3,75019,80.49
IBMS-10049,NH-48,Uttar Pradesh,537.5,1985,2023-08-15,58.3,27092,73.63
IBMS-10059,NH-44,Tamil Nadu,211.1,1976,2023-07-08,62.2,94163,11.17
IBMS-10298,NH-6,Tamil Nadu,255.9,1987,2024-10-05,57.9,23061,21.07
IBMS-10067,NH-6,Odisha,164.6,1979,2024-08-18,30.5,54057,16.5
IBMS-10063,NH-66,Gujarat,25.8,1958,2025-09-09,45.7,50913,2.85
IBMS-10126,NH-16,Rajasthan,845.5,2004,2025-01-05,31.5,96709,92.15
IBMS-10476,NH-16,Andhra Pradesh,478.1,2010,2025-01-12,86.2,13739,21.99
IBMS-10314,NH-52,Kerala,73.7,1995,2025-06-21,27.5,60381,14.43
IBMS-10334,NH-44,Madhya Pradesh,873.5,1978,2022-09-23,39.1,9524,140.76
IBMS-10353,NH-52,Punjab,349.8,1992,2024-02-15,32.2,55140,30.43
IBMS-10423,NH-66,Gujarat,62.1,2004,2024-06-01,71.6,16256,1.74
IBMS-10491,NH-19,Bihar,140.2,1998,2022-10-07,80.2,17863,7.14
IBMS-10360,NH-19,Maharashtra,204.1,1973,2025-05-06,23.1,59467,32.77
IBMS-10107,NH-44,Odisha,1192.4,1980,2022-08-13,24.8,63788,125.36
IBMS-10347,NH-6,Odisha,1142,1989,2022-06-04,55.6,49893,136.8
IBMS-10362,NH-33,Maharashtra,704.8,1969,2025-01-07,44.3,29463,68.74
IBMS-10129,NH-27,Uttar Pradesh,678.4,1972,2025-01-11,25.7,13296,61.09
IBMS-10034,NH-30,Kerala,1132,1967,2024-08-18,48.2,24698,60.28
IBMS-10239,NH-48,Uttarakhand,101.9,2002,2024-08-12,25.4,59604,21.99
IBMS-10053,NH-48,Bihar,1218.9,1992,2025-06-15,55.5,21267,144.28
