district,month,beds_total,beds_occupied,icu_total,icu_occupied,staff_nurses,staff_doctors
Udaipur,2024-11,2018,1434,217,176,835,184
Udaipur,2024-12,2020,1270,217,150,735,271
Udaipur,2025-01,2022,1290,217,157,1027,237
Udaipur,2025-02,2024,1377,218,156,836,229
Udaipur,2025-03,2026,1464,218,176,669,174
Udaipur,2025-04,2027,1380,218,168,677,205
Udaipur,2025-05,2029,1487,219,172,879,250
Udaipur,2025-06,2031,1611,219,189,776,264
Udaipur,2025-07,2033,1647,219,184,913,189
Udaipur,2025-08,2035,1418,220,166,881,185
Udaipur,2025-09,2037,1585,220,176,988,275
Udaipur,2025-10,2039,1414,220,156,875,243
Udaipur,2025-11,2041,1197,221,134,825,200
Udaipur,2025-12,2043,1288,221,156,1081,259
Lucknow,2019-01,2190,1140,114,67,957,302
Lucknow,2019-02,2192,1317,114,78,1173,274
Lucknow,2019-03,2194,1435,114,86,948,268
Lucknow,2019-04,2197,1533,115,90,956,209
Lucknow,2019-05,2199,1895,115,101,1187,176
Lucknow,2019-06,2201,1867,115,105,777,165
Lucknow,2019-07,2203,1650,115,101,1033,306
Lucknow,2019-08,2205,1502,115,82,1175,298
Lucknow,2019-09,2208,1171,116,65,932,205
Lucknow,2019-10,2210,1828,116,106,1043,190
Lucknow,2019-11,2212,1538,116,91,1128,173
Lucknow,2019-12,2214,1393,116,78,1003,184
Lucknow,2020-01,2216,1500,116,81,1024,244
Lucknow,2020-02,2218,1891,116,106,1169,308
Lucknow,2020-03,2221,1588,117,86,1091,224
Lucknow,2020-04,2223,1717,117,103,1178,196
Lucknow,2020-05,2225,2150,117,114,943,236
Lucknow,2020-06,2227,1976,117,108,728,232
Lucknow,2020-07,2229,2062,117,117,934,218
Lucknow,2020-08,2232,2210,118,118,1208,183
Lucknow,2020-09,2234,1842,118,105,1057,275
Lucknow,2020-10,2236,2029,118,118,1051,157
Lucknow,2020-11,2238,1554,118,95,1076,217
Lucknow,2020-12,2240,1232,118,75,791,260
Lucknow,2021-01,2243,1889,119,108,796,269
Lucknow,2021-02,2245,2014,119,119,1064,218
Lucknow,2021-03,2247,1551,119,94,1213,261
Lucknow,2021-04,2249,1808,119,96,983,292
Lucknow,2021-05,2251,1764,119,101,999,263
Lucknow,2021-06,2254,2231,120,120,1154,277
Lucknow,2021-07,2256,2102,120,117,1178,199
Lucknow,2021-08,2258,2134,120,120,926,169
Lucknow,2021-09,2260,1820,120,104,1074,303
Lucknow,2021-10,2262,1542,120,87,1224,179
Lucknow,2021-11,2264,1373,120,79,729,308
Lucknow,2021-12,2267,1382,121,85,977,297
Lucknow,2022-01,2269,1386,121,77,1080,204
Lucknow,2022-02,2271,1499,121,87,872,179
Lucknow,2022-03,2273,1921,121,116,1034,245
Lucknow,2022-04,2275,1568,121,88,1194,257
Lucknow,2022-05,2278,1656,122,94,797,289
Lucknow,2022-06,2280,1755,122,101,1108,301
Lucknow,2022-07,2282,1651,122,95,1150,262
Lucknow,2022-08,2284,1804,122,112,916,219
Lucknow,2022-09,2286,1902,122,105,1008,174
Lucknow,2022-10,2289,1490,123,86,822,172
Lucknow,2022-11,2291,1556,123,94,1100,176
Lucknow,2022-12,2293,1455,123,84,851,181
Lucknow,2023-01,2295,1412,123,88,1104,223
Lucknow,2023-02,2297,1476,123,85,1004,306
Lucknow,2023-03,2300,1131,123,67,902,219
Lucknow,2023-04,2302,1901,124,109,1045,276
Lucknow,2023-05,2304,1688,124,91,1106,267
Lucknow,2023-06,2306,1385,124,78,1091,258
Lucknow,2023-07,2308,1811,124,102,935,187
Lucknow,2023-08,2310,1669,124,94,811,213
Lucknow,2023-09,2313,1689,125,98,1096,229
Lucknow,2023-10,2315,1420,125,86,1123,264
Lucknow,2023-11,2317,1475,125,83,867,250
Lucknow,2023-12,2319,1296,125,74,772,190
Lucknow,2024-01,2321,1516,125,95,810,227
Lucknow,2024-02,2324,1286,126,80,1208,218
Lucknow,2024-03,2326,1190,126,73,812,256
Lucknow,2024-04,2328,1552,126,98,1234,175
Lucknow,2024-05,2330,1316,126,77,923,270
Lucknow,2024-06,2332,1717,126,109,854,326
Lucknow,2024-07,2335,1754,127,105,934,205
Lucknow,2024-08,2337,1752,127,101,1136,259
Lucknow,2024-09,2339,1654,127,104,957,253
Lucknow,2024-10,2341,1742,127,103,1175,234
Lucknow,2024-11,2343,1550,127,95,822,255
Lucknow,2024-12,2345,1394,127,77,1170,218
Lucknow,2025-01,2348,1103,128,63,942,249
Lucknow,2025-02,2350,1246,128,74,832,242
Lucknow,2025-03,2352,1616,128,100,981,282
Lucknow,2025-04,2354,1512,128,89,1255,259
Lucknow,2025-05,2356,1646,128,103,782,214
Lucknow,2025-06,2359,2026,129,120,823,295
Lucknow,2025-07,2361,1891,129,115,1065,314
Lucknow,2025-08,2363,1909,129,110,1212,250
Lucknow,2025-09,2365,1776,129,100,1209,244
Lucknow,2025-10,2367,1493,129,84,1281,182
Lucknow,2025-11,2370,1793,130,113,962,308
Lucknow,2025-12,2372,1601,130,99,1288,311
Varanasi,2019-01,1759,1076,151,102,846,213
Varanasi,2019-02,1761,977,151,94,754,199
Varanasi,2019-03,1763,1203,152,105,614,243
Varanasi,2019-04,1764,1067,152,108,759,131
Varanasi,2019-05,1766,1339,152,127,929,182
Varanasi,2019-06,1768,1496,152,136,773,242
Varanasi,2019-07,1770,1043,153,91,775,228
Varanasi,2019-08,1771,1106,153,101,953,186
Varanasi,2019-09,1773,1257,153,116,965,248
Varanasi,2019-10,1775,1297,153,117,744,167
Varanasi,2019-11,1777,1051,154,96,737,140
Varanasi,2019-12,1778,1007,154,91,925,238
Varanasi,2020-01,1780,1335,154,131,755,151
Varanasi,2020-02,1782,1437,154,142,677,192
Varanasi,2020-03,1784,1283,155,121,574,132
Varanasi,2020-04,1785,1419,155,125,796,245
Varanasi,2020-05,1787,1460,155,140,969,247
Varanasi,2020-06,1789,1771,155,155,791,240
Varanasi,2020-07,1791,1136,156,116,613,165
Varanasi,2020-08,1792,1494,156,148,835,186
Varanasi,2020-09,1794,1715,156,156,685,178
Varanasi,2020-10,1796,1353,156,139,936,144
Varanasi,2020-11,1798,1573,157,157,928,246
Varanasi,2020-12,1799,1478,157,146,876,183
Varanasi,2021-01,1801,1286,157,117,935,146
Varanasi,2021-02,1803,1615,157,141,793,218
Varanasi,2021-03,1805,1584,158,148,987,171
Varanasi,2021-04,1806,1525,158,146,616,238
Varanasi,2021-05,1808,1788,158,158,674,224
Varanasi,2021-06,1810,1792,158,158,590,237
Varanasi,2021-07,1812,1347,159,132,634,227
Varanasi,2021-08,1814,1616,159,143,876,230
Varanasi,2021-09,1815,1360,159,126,971,241
Varanasi,2021-10,1817,1473,159,140,974,174
Varanasi,2021-11,1819,1102,160,97,842,178
Varanasi,2021-12,1821,1047,160,100,847,233
Varanasi,2022-01,1822,971,160,95,751,179
Varanasi,2022-02,1824,1247,160,120,992,210
Varanasi,2022-03,1826,1170,161,111,840,252
Varanasi,2022-04,1828,1462,161,129,664,241
Varanasi,2022-05,1829,1348,161,131,973,207
Varanasi,2022-06,1831,1241,161,122,729,240
Varanasi,2022-07,1833,1466,162,131,807,170
Varanasi,2022-08,1835,1428,162,138,763,240
Varanasi,2022-09,1836,1344,162,127,852,222
Varanasi,2022-10,1838,1202,162,116,882,182
Varanasi,2022-11,1840,863,163,84,828,219
Varanasi,2022-12,1842,1111,163,112,936,212
Varanasi,2023-01,1843,1087,163,108,662,245
Varanasi,2023-02,1845,1016,163,105,723,220
Varanasi,2023-03,1847,1160,164,119,970,240
Varanasi,2023-04,1849,1239,164,112,947,231
Varanasi,2023-05,1850,1497,164,146,771,192
Varanasi,2023-06,1852,1361,164,127,626,146
Varanasi,2023-07,1854,1315,165,132,875,165
Varanasi,2023-08,1856,1245,165,118,807,165
Varanasi,2023-09,1858,1160,165,113,712,141
Varanasi,2023-10,1859,1116,165,102,701,245
Varanasi,2023-11,1861,1028,166,95,765,255
Varanasi,2023-12,1863,1351,166,123,833,184
Varanasi,2024-01,1865,1107,166,103,962,207
Varanasi,2024-02,1866,1031,166,104,784,209
Varanasi,2024-03,1868,1168,167,112,1005,189
Varanasi,2024-04,1870,1174,167,106,800,211
Varanasi,2024-05,1872,1375,167,139,723,157
Varanasi,2024-06,1873,1365,167,123,877,146
Varanasi,2024-07,1875,1580,168,155,966,189
Varanasi,2024-08,1877,1555,168,141,918,150
Varanasi,2024-09,1879,1245,168,128,723,263
Varanasi,2024-10,1880,1136,168,119,865,250
Varanasi,2024-11,1882,1139,169,120,937,243
Varanasi,2024-12,1884,1042,169,96,722,151
Varanasi,2025-01,1886,1187,169,120,966,228
Varanasi,2025-02,1887,1265,169,120,876,138
Varanasi,2025-03,1889,1326,170,127,786,247
Varanasi,2025-04,1891,1061,170,105,989,263
Varanasi,2025-05,1893,1300,170,137,867,206
Varanasi,2025-06,1894,1435,170,130,985,172
Varanasi,2025-07,1896,1422,171,144,925,224
Varanasi,2025-08,1898,1666,171,170,1040,213
Varanasi,2025-09,1900,1341,171,139,952,160
Varanasi,2025-10,1901,1194,171,122,996,251
Varanasi,2025-11,1903,1256,172,125,879,247
Varanasi,2025-12,1905,1216,172,127,897,137
Gorakhpur,2019-01,589,327,65,40,230,55
Gorakhpur,2019-02,590,359,65,46,316,50
Gorakhpur,2019-03,590,483,65,60,204,55
Gorakhpur,2019-04,591,449,65,51,275,58
Gorakhpur,2019-05,591,353,65,45,277,61
Gorakhpur,2019-06,592,472,66,58,260,50
Gorakhpur,2019-07,593,393,66,48,203,62
Gorakhpur,2019-08,593,443,66,49,292,79
Gorakhpur,2019-09,594,430,66,51,300,43
Gorakhpur,2019-10,594,414,66,50,275,45
Gorakhpur,2019-11,595,395,66,49,302,55
Gorakhpur,2019-12,595,350,66,40,207,44
Gorakhpur,2020-01,596,494,66,59,204,72
Gorakhpur,2020-02,597,421,66,52,205,74
Gorakhpur,2020-03,597,407,67,49,325,51
Gorakhpur,2020-04,598,478,67,59,238,48
Gorakhpur,2020-05,598,592,67,67,269,51
Gorakhpur,2020-06,599,524,67,67,197,63
Gorakhpur,2020-07,600,548,67,63,197,69
Gorakhpur,2020-08,600,600,67,67,250,79
Gorakhpur,2020-09,601,536,67,64,252,72
Gorakhpur,2020-10,601,538,67,65,317,66
Gorakhpur,2020-11,602,588,67,67,324,45
Gorakhpur,2020-12,603,502,67,59,298,58
Gorakhpur,2021-01,603,429,68,54,254,65
Gorakhpur,2021-02,604,415,68,52,210,48
Gorakhpur,2021-03,604,450,68,55,263,70
Gorakhpur,2021-04,605,566,68,68,266,71
Gorakhpur,2021-05,605,599,68,68,298,78
Gorakhpur,2021-06,606,597,68,68,316,80
Gorakhpur,2021-07,607,540,68,66,280,79
Gorakhpur,2021-08,607,567,68,65,235,67
Gorakhpur,2021-09,608,464,68,54,277,50
Gorakhpur,2021-10,608,387,69,46,272,75
Gorakhpur,2021-11,609,346,69,42,294,60
Gorakhpur,2021-12,610,446,69,59,237,75
Gorakhpur,2022-01,610,423,69,56,213,82
Gorakhpur,2022-02,611,319,69,37,228,80
Gorakhpur,2022-03,611,364,69,48,211,75
Gorakhpur,2022-04,612,420,69,52,244,59
Gorakhpur,2022-05,613,420,69,53,251,60
Gorakhpur,2022-06,613,433,69,52,299,75
Gorakhpur,2022-07,614,428,70,55,234,69
Gorakhpur,2022-08,614,390,70,45,200,63
Gorakhpur,2022-09,615,441,70,58,336,49
Gorakhpur,2022-10,616,428,70,50,265,76
Gorakhpur,2022-11,616,398,70,46,290,62
Gorakhpur,2022-12,617,389,70,47,291,81
Gorakhpur,2023-01,617,385,70,49,310,74
Gorakhpur,2023-02,618,411,70,47,226,63
Gorakhpur,2023-03,618,381,70,45,201,82
Gorakhpur,2023-04,619,381,71,49,287,71
Gorakhpur,2023-05,620,477,71,60,294,43
Gorakhpur,2023-06,620,542,71,70,264,62
Gorakhpur,2023-07,621,565,71,71,237,66
Gorakhpur,2023-08,621,529,71,66,331,43
Gorakhpur,2023-09,622,492,71,66,289,81
Gorakhpur,2023-10,623,414,71,54,277,82
Gorakhpur,2023-11,623,371,71,43,277,58
Gorakhpur,2023-12,624,353,71,46,241,66
Gorakhpur,2024-01,624,374,72,46,278,70
Gorakhpur,2024-02,625,417,72,54,296,49
Gorakhpur,2024-03,626,344,72,43,339,87
Gorakhpur,2024-04,626,461,72,56,265,81
Gorakhpur,2024-05,627,420,72,55,292,53
Gorakhpur,2024-06,627,462,72,59,275,66
Gorakhpur,2024-07,628,455,72,60,254,55
Gorakhpur,2024-08,628,460,72,55,335,72
Gorakhpur,2024-09,629,451,72,54,303,74
Gorakhpur,2024-10,630,416,72,52,338,71
Gorakhpur,2024-11,630,497,73,68,299,70
Gorakhpur,2024-12,631,372,73,47,270,75
Gorakhpur,2025-01,631,354,73,43,346,50
Gorakhpur,2025-02,632,408,73,51,303,75
Gorakhpur,2025-03,633,443,73,58,224,67
Gorakhpur,2025-04,633,422,73,54,261,70
Gorakhpur,2025-05,634,424,73,57,289,65
Gorakhpur,2025-06,634,486,73,64,213,54
Gorakhpur,2025-07,635,587,73,69,299,55
Gorakhpur,2025-08,636,548,74,69,230,67
Gorakhpur,2025-09,636,422,74,57,334,55
Gorakhpur,2025-10,637,457,74,56,335,76
Gorakhpur,2025-11,637,385,74,46,223,64
Gorakhpur,2025-12,638,431,74,51,267,82
Gorakhpur,2025-12,638,431
Gorakhpur,2025-12,638,431,74,51,267,82,EXTRA_UNMAPPED_CELL
Gorakhpur,2025-12,NOT_A_NUMBER,431,74,51,267,82
