district,month,households_covered,target_households,functional_tap_pct,capex_released_cr,capex_spent_cr
Bhopal,2023-11,255018,364882,58.1,242.84,76.66
Bhopal,2023-12,258229,364882,59.2,243.57,79.35
Bhopal,2024-01,259506,364882,66.1,248.86,79.89
Bhopal,2024-02,262425,364882,66.7,253.89,81.2
Bhopal,2024-03,263775,364882,70.4,261.11,82.83
Bhopal,2024-04,266475,364882,64,268,83.66
Bhopal,2024-05,270635,364882,71,273.05,83.91
Bhopal,2024-06,272642,364882,70.4,279.42,86.41
Bhopal,2024-07,273627,364882,72.7,286.75,86.68
Bhopal,2024-08,275707,364882,68.2,293.38,87.58
Bhopal,2024-09,278845,364882,72.4,297.67,88.62
Bhopal,2024-10,281107,364882,75.3,299.58,90.75
Bhopal,2024-11,284099,364882,65.9,302.3,90.92
Bhopal,2024-12,286872,364882,68.7,309.31,92.81
Bhopal,2025-01,289609,364882,67.6,311.17,93.23
Bhopal,2025-02,293951,364882,73.5,318.64,95.23
Bhopal,2025-03,297016,364882,77.3,325.59,97.64
Bhopal,2025-04,299278,364882,71.2,331.21,98.3
Bhopal,2025-05,301248,364882,80.1,336.17,99.33
Bhopal,2025-06,304532,364882,73.8,342.4,101.36
Bhopal,2025-07,308509,364882,73.6,348.06,101.48
Bhopal,2025-08,310954,364882,73.5,355.41,101.74
Bhopal,2025-09,312997,364882,74.7,362.08,102.82
Bhopal,2025-10,313946,364882,73,363.74,105.72
Bhopal,2025-11,314858,364882,76.1,366.96,108.72
Bhopal,2025-12,318543,364882,83.2,372.67,109.32
Gwalior,2019-01,71710,459091,13.5,7.34,2.11
Gwalior,2019-02,76485,459091,15.7,8.36,3.65
Gwalior,2019-03,79745,459091,16.5,9.66,3.76
Gwalior,2019-04,80939,459091,16.9,16.55,4.61
Gwalior,2019-05,83877,459091,17.9,19.83,5.66
Gwalior,2019-06,87045,459091,18.4,27.15,5.98
Gwalior,2019-07,92279,459091,19.6,32.72,6.22
Gwalior,2019-08,97375,459091,20.4,39.05,6.5
Gwalior,2019-09,99165,459091,21.3,43.25,7.54
Gwalior,2019-10,100450,459091,18.9,43.98,7.88
Gwalior,2019-11,102378,459091,19.7,48.09,9.08
Gwalior,2019-12,106097,459091,20.1,49.91,9.52
Gwalior,2020-01,108760,459091,21,54.72,10.03
Gwalior,2020-02,113626,459091,21.2,61,11.18
Gwalior,2020-03,114682,459091,22,61.68,13.54
Gwalior,2020-04,115967,459091,22.2,67.41,13.83
Gwalior,2020-05,120696,459091,24.4,68.76,14.47
Gwalior,2020-06,121752,459091,25,70.34,15.59
Gwalior,2020-07,125562,459091,25.2,77.31,16.41
Gwalior,2020-08,130750,459091,24.7,82.98,16.78
Gwalior,2020-09,133321,459091,27.2,84.46,17.76
Gwalior,2020-10,135066,459091,27,86.56,19.72
Gwalior,2020-11,137775,459091,27.4,90.71,20.65
Gwalior,2020-12,142779,459091,27.7,94.3,21.48
Gwalior,2021-01,145258,459091,27.7,98.17,21.65
Gwalior,2021-02,147553,459091,29.8,100.16,24.15
Gwalior,2021-03,150675,459091,27,107.21,26.3
Gwalior,2021-04,151869,459091,32.7,108.75,27.56
Gwalior,2021-05,155725,459091,30.3,110.13,28.53
Gwalior,2021-06,160821,459091,30.9,110.94,28.89
Gwalior,2021-07,162198,459091,32,116.93,29.73
Gwalior,2021-08,167294,459091,31.2,120.51,30.38
Gwalior,2021-09,172528,459091,35.9,124.88,32.05
Gwalior,2021-10,175925,459091,36.7,129.08,32.87
Gwalior,2021-11,177945,459091,37.9,135.74,33.56
Gwalior,2021-12,181205,459091,33,136.99,36.47
Gwalior,2022-01,185383,459091,36.6,137.39,38.25
Gwalior,2022-02,187403,459091,34.5,144.5,41.24
Gwalior,2022-03,192086,459091,35.7,146.59,42.11
Gwalior,2022-04,195529,459091,41.9,150.35,42.64
Gwalior,2022-05,200074,459091,39.8,151.71,44.78
Gwalior,2022-06,201819,459091,42.1,156.43,46.54
Gwalior,2022-07,206594,459091,41.7,159.87,48.28
Gwalior,2022-08,208981,459091,44.2,161.89,49.27
Gwalior,2022-09,212516,459091,43.7,167.44,52.13
Gwalior,2022-10,215225,459091,40.6,173.22,54.32
Gwalior,2022-11,219127,459091,39.5,176.57,55.91
Gwalior,2022-12,220137,459091,41.3,181.99,57.8
Gwalior,2023-01,222387,459091,47.7,189.42,60.57
Gwalior,2023-02,223397,459091,45.9,193.85,62.83
Gwalior,2023-03,224315,459091,43.7,199.74,62.91
Gwalior,2023-04,229595,459091,46.9,205.94,63.74
Gwalior,2023-05,233773,459091,45.7,211.94,64.83
Gwalior,2023-06,238043,459091,45.3,216.65,66.45
Gwalior,2023-07,240109,459091,49.6,218.16,67.24
Gwalior,2023-08,241670,459091,47,223.14,67.53
Gwalior,2023-09,244975,459091,45.3,227.35,67.95
Gwalior,2023-10,249382,459091,52.4,230.41,68.93
Gwalior,2023-11,252137,459091,50.1,233.24,69.42
Gwalior,2023-12,254203,459091,49.7,240.53,69.89
Gwalior,2024-01,258059,459091,52.6,247.04,70.17
Gwalior,2024-02,260814,459091,48.2,249.5,70.87
Gwalior,2024-03,263385,459091,54.6,254.16,72.91
Gwalior,2024-04,267241,459091,53.4,254.95,76
Gwalior,2024-05,271235,459091,56.9,259.72,76.76
Gwalior,2024-06,276423,459091,55.2,260.98,77.21
Gwalior,2024-07,279361,459091,57.3,266.72,77.91
Gwalior,2024-08,281886,459091,53.9,273.34,79.34
Gwalior,2024-09,284778,459091,55.5,273.91,80.25
Gwalior,2024-10,289920,459091,54.3,275.81,80.96
Gwalior,2024-11,294373,459091,61.2,279.76,81.49
Gwalior,2024-12,298183,459091,59,285.64,83.71
Gwalior,2025-01,303279,459091,62.7,290.62,85.86
Gwalior,2025-02,307732,459091,64.6,292.2,86.18
Gwalior,2025-03,310257,459091,57.8,293.89,87.9
Gwalior,2025-04,313654,459091,62,300.42,89.06
Gwalior,2025-05,318199,459091,63.5,304.71,89.39
Gwalior,2025-06,319439,459091,67.4,311.59,90.39
Gwalior,2025-07,320403,459091,66,313.41,91.17
Gwalior,2025-08,322423,459091,67,320.52,93.57
Gwalior,2025-09,327335,459091,70.4,324.34,94.64
Gwalior,2025-10,332477,459091,67.3,325.45,96.74
Gwalior,2025-11,333441,459091,59.6,331.35,98.87
Gwalior,2025-12,336012,459091,66.7,335.84,99.47
Coimbatore,2019-01,54230,438753,11.6,2.87,2.44
Coimbatore,2019-02,55810,438753,12.5,6.29,3.04
Coimbatore,2019-03,58135,438753,11.7,8.57,3.15
Coimbatore,2019-04,59802,438753,12.9,12.96,6.18
Coimbatore,2019-05,60680,438753,13.6,17.92,8.18
Coimbatore,2019-06,62874,438753,12.3,19.76,10.7
Coimbatore,2019-07,64892,438753,12.7,24.8,13.54
Coimbatore,2019-08,68665,438753,13,25.3,14.39
Coimbatore,2019-09,69718,438753,13.1,32.66,16.01
Coimbatore,2019-10,72175,438753,14.3,37.36,16.15
Coimbatore,2019-11,74851,438753,14.8,41.3,16.45
Coimbatore,2019-12,75772,438753,14.6,44.44,16.51
Coimbatore,2020-01,78799,438753,16.4,49.33,17.48
Coimbatore,2020-02,79852,438753,16.1,53.74,17.74
Coimbatore,2020-03,81695,438753,17.4,59.33,17.88
Coimbatore,2020-04,86039,438753,18.3,60.35,18.39
Coimbatore,2020-05,88321,438753,17.9,62.45,20.52
Coimbatore,2020-06,93147,438753,17.8,62.97,22.15
Coimbatore,2020-07,95560,438753,19.3,67.61,23.83
Coimbatore,2020-08,98368,438753,21,69.43,26.16
Coimbatore,2020-09,100825,438753,19.1,76.73,27.19
Coimbatore,2020-10,101966,438753,21.1,77.61,27.56
Coimbatore,2020-11,104730,438753,22.3,79.65,28.52
Coimbatore,2020-12,107012,438753,23.4,81.21,29.72
Coimbatore,2021-01,110873,438753,21.3,88.26,30.73
Coimbatore,2021-02,114515,438753,22.1,95.29,32.34
Coimbatore,2021-03,116358,438753,22.7,102.52,32.71
Coimbatore,2021-04,119693,438753,22.9,107.44,33.36
Coimbatore,2021-05,122633,438753,27.7,110.37,36.23
Coimbatore,2021-06,125266,438753,26.7,113.21,36.76
Coimbatore,2021-07,130180,438753,24.5,120.28,37.78
Coimbatore,2021-08,133383,438753,25,121.41,39.04
Coimbatore,2021-09,136454,438753,26.5,121.96,39.58
Coimbatore,2021-10,141061,438753,30.2,125.84,40.37
Coimbatore,2021-11,146238,438753,27.7,129.96,40.49
Coimbatore,2021-12,149046,438753,29.8,136.57,42.69
Coimbatore,2022-01,151503,438753,28.4,142.14,42.83
Coimbatore,2022-02,156680,438753,31.5,145.55,43.24
Coimbatore,2022-03,158742,438753,31.8,149.77,43.44
Coimbatore,2022-04,160673,438753,32.7,151.22,43.61
Coimbatore,2022-05,164578,438753,36.8,154.06,44.58
Coimbatore,2022-06,167825,438753,32.6,157.13,47.48
Coimbatore,2022-07,171905,438753,33,161.7,47.6
Coimbatore,2022-08,176161,438753,38.2,165.05,47.86
Coimbatore,2022-09,180856,438753,39.2,169.87,49.35
Coimbatore,2022-10,185507,438753,41.5,173.26,50.51
Coimbatore,2022-11,187218,438753,37,175.11,50.86
Coimbatore,2022-12,189236,438753,38.6,178.77,51.99
Coimbatore,2023-01,193975,438753,39.3,181.8,52.58
Coimbatore,2023-02,198012,438753,40.4,188.28,54.75
Coimbatore,2023-03,201785,438753,45.5,192.03,55.94
Coimbatore,2023-04,202838,438753,44,198.37,58.03
Coimbatore,2023-05,208103,438753,39.5,201.45,59.52
Coimbatore,2023-06,211394,438753,42.4,203.85,59.72
Coimbatore,2023-07,212710,438753,44,209.57,60.15
Coimbatore,2023-08,214641,438753,44.2,210.09,60.76
Coimbatore,2023-09,217844,438753,46.9,215.33,61.47
Coimbatore,2023-10,221222,438753,41.4,222.23,61.78
Coimbatore,2023-11,224513,438753,45.9,223.05,63.25
Coimbatore,2023-12,225742,438753,46.8,227.01,64.25
Coimbatore,2024-01,229822,438753,51.1,230.48,67.15
Coimbatore,2024-02,234253,438753,51.5,235.2,68.04
Coimbatore,2024-03,239035,438753,48.2,240.08,70.32
Coimbatore,2024-04,241580,438753,47.1,243.2,70.36
Coimbatore,2024-05,244300,438753,48.9,246.67,72.72
Coimbatore,2024-06,245923,438753,51.3,249.19,73.71
Coimbatore,2024-07,247371,438753,51.9,253.19,74.03
Coimbatore,2024-08,248512,438753,52.6,255.94,76.25
Coimbatore,2024-09,252856,438753,50.7,259.45,78.2
Coimbatore,2024-10,257814,438753,53.9,263.22,78.69
Coimbatore,2024-11,260447,438753,55.7,264.86,79.69
Coimbatore,2024-12,264133,438753,58.9,270.67,81.47
Coimbatore,2025-01,265669,438753,58.7,273.16,84.03
Coimbatore,2025-02,267292,438753,59.8,279.97,84.12
Coimbatore,2025-03,268696,438753,56.4,282.52,85.7
Coimbatore,2025-04,273610,438753,53.9,289.02,87.49
Coimbatore,2025-05,277515,438753,55,292.14,88.4
Coimbatore,2025-06,278524,438753,62,299.19,88.53
Coimbatore,2025-07,281113,438753,62.3,304.91,89.5
Coimbatore,2025-08,283658,438753,59.2,311.19,90.72
Coimbatore,2025-09,288660,438753,56.3,316.55,92.5
Coimbatore,2025-10,291600,438753,55.8,321.59,95.18
Coimbatore,2025-11,294803,438753,58.8,326.53,98.24
Coimbatore,2025-12,299673,438753,59.9,329.51,99.08
Madurai,2019-01,81389,304258,23.9,6.71,0.24
Madurai,2019-02,82210,304258,22.8,7.69,2.42
Madurai,2019-03,83092,304258,25.4,11.79,3.01
Madurai,2019-04,85283,304258,23,15.3,3.12
Madurai,2019-05,87291,304258,25.8,16.61,3.81
Madurai,2019-06,88569,304258,28.3,20.94,5.64
Madurai,2019-07,89847,304258,28.8,24.31,6.6
Madurai,2019-08,92981,304258,30.2,30.17,7.08
Madurai,2019-09,93620,304258,26.7,32.91,8.43
Madurai,2019-10,95293,304258,27.2,38.97,9.12
Madurai,2019-11,98123,304258,27.4,41.12,12.03
Madurai,2019-12,100253,304258,27.6,45.63,14.23
Madurai,2020-01,102535,304258,29.7,49.89,16.88
Madurai,2020-02,104543,304258,29.3,52.54,19.2
Madurai,2020-03,107951,304258,34.1,58.64,21.38
Madurai,2020-04,109898,304258,33.7,64.22,23.38
Madurai,2020-05,111145,304258,32.6,71.68,25.19
Madurai,2020-06,114796,304258,35.5,78.41,25.85
Madurai,2020-07,117899,304258,37.3,83.7,28.73
Madurai,2020-08,119390,304258,33.5,89.22,31.2
Madurai,2020-09,122128,304258,35,93.28,34.25
Madurai,2020-10,125262,304258,36.8,94.27,34.99
Madurai,2020-11,127848,304258,40.3,99.27,35.11
Madurai,2020-12,130191,304258,35.5,99.69,36.87
Madurai,2021-01,133234,304258,38,104.73,37.74
Madurai,2021-02,136611,304258,36.8,108.47,39.32
Madurai,2021-03,137493,304258,43.6,115.12,40.4
Madurai,2021-04,140444,304258,42.5,117.89,40.88
Madurai,2021-05,142726,304258,39.7,123.56,41.88
Madurai,2021-06,145251,304258,40.5,129.63,42.85
Madurai,2021-07,148354,304258,42.3,136.91,44.81
Madurai,2021-08,150210,304258,40.6,140.41,46.78
Madurai,2021-09,152188,304258,43.8,142.14,47.46
Madurai,2021-10,152888,304258,47.7,147.45,49.92
Madurai,2021-11,154927,304258,47.7,152.7,50.2
Madurai,2021-12,156357,304258,47.6,157.26,51.02
Madurai,2022-01,158578,304258,45.7,164.2,52.09
Madurai,2022-02,160343,304258,50.9,166.94,52.7
Madurai,2022-03,162625,304258,50.8,169.34,53.2
Madurai,2022-04,164085,304258,44.3,174.61,55.83
Madurai,2022-05,166732,304258,52.4,178.88,56.68
Madurai,2022-06,169896,304258,53.6,182.27,58.54
Madurai,2022-07,172543,304258,54,183.9,59.8
Madurai,2022-08,174429,304258,50.3,184.98,60.69
Madurai,2022-09,175372,304258,52.4,190.72,62.29
Madurai,2022-10,176619,304258,48.4,196.05,63.3
Madurai,2022-11,179083,304258,56.2,202.48,65.24
Madurai,2022-12,181517,304258,57.6,206.83,65.42
Madurai,2023-01,182734,304258,53.4,213.01,67.25
Madurai,2023-02,185077,304258,58.3,220.26,67.97
Madurai,2023-03,188698,304258,61.4,221.29,68.83
Madurai,2023-04,189793,304258,53.6,222.28,69.45
Madurai,2023-05,190462,304258,54.8,225.73,72.3
Madurai,2023-06,193931,304258,54.8,230.01,72.98
Madurai,2023-07,195696,304258,61.4,232.87,75.83
Madurai,2023-08,197248,304258,53.2,233.92,77.96
Madurai,2023-09,199560,304258,61.5,234.76,79
Madurai,2023-10,200534,304258,58.5,235.33,79.5
Madurai,2023-11,203577,304258,58.3,237.71,82.56
Madurai,2023-12,206224,304258,61.7,238.19,85.36
Madurai,2024-01,207624,304258,57.4,242.96,88.26
Madurai,2024-02,208324,304258,62.4,245.01,89.31
Madurai,2024-03,211640,304258,63.7,247.65,91.15
Madurai,2024-04,214196,304258,59.7,253.93,91.84
Madurai,2024-05,215869,304258,59.8,257.6,93.72
Madurai,2024-06,218333,304258,65.3,258.68,95.86
Madurai,2024-07,219185,304258,61.8,265.88,96.53
Madurai,2024-08,222136,304258,60.5,271.29,97.42
Madurai,2024-09,223718,304258,70.1,275.02,98.15
Madurai,2024-10,224844,304258,68.4,282.31,100.39
Madurai,2024-11,225574,304258,69.9,286.27,102.83
Madurai,2024-12,227004,304258,69.9,289.45,103.82
Madurai,2025-01,228282,304258,72.4,291.77,104.35
Madurai,2025-02,228951,304258,62,294.03,104.99
Madurai,2025-03,232541,304258,68.6,294.63,106.5
Madurai,2025-04,235310,304258,73.4,297.16,107.3
Madurai,2025-05,237257,304258,76.8,299.32,107.91
Madurai,2025-06,238231,304258,69.5,305.44,108.23
Madurai,2025-07,239052,304258,68.7,310.6,108.51
Madurai,2025-08,242216,304258,78.4,317.82,108.61
Madurai,2025-09,242946,304258,73.4,322.59,110.02
Madurai,2025-10,245989,304258,74.9,326.55,111.43
Madurai,2025-11,248119,304258,71.4,331.1,112.52
Madurai,2025-12,250462,304258,81.2,334.86,115.29
Madurai,2025-12,250462
Madurai,2025-12,250462,304258,81.2,334.86,115.29,EXTRA_UNMAPPED_CELL
Madurai,2025-12,NOT_A_NUMBER,304258,81.2,334.86,115.29
