scheme,department,state,district,fy,allocation_cr,released_cr,spent_cr,beneficiaries,utilisation_pct
Jal Jeevan Mission,Jal Shakti,Bihar,Gaya,2025-26,1946.99,1809.66,741.96,330914,38.1
Jal Jeevan Mission,Jal Shakti,Maharashtra,Nashik,2019-20,454,344.4,236.74,200045,52.1
Jal Jeevan Mission,Jal Shakti,Maharashtra,Nashik,2020-21,499.91,370.43,305.85,263337,61.2
Jal Jeevan Mission,Jal Shakti,Maharashtra,Nashik,2021-22,605.84,508.19,439.42,141493,72.5
Jal Jeevan Mission,Jal Shakti,Maharashtra,Nashik,2022-23,743.51,721.43,222.92,115695,30
Jal Jeevan Mission,Jal Shakti,Maharashtra,Nashik,2023-24,881.37,664.16,664.16,361303,75.4
Jal Jeevan Mission,Jal Shakti,Maharashtra,Nashik,2024-25,1136.79,933.24,785.04,462389,69.1
Jal Jeevan Mission,Jal Shakti,Maharashtra,Nashik,2025-26,1601.1,1530.47,1238.13,564587,77.3
Jal Jeevan Mission,Jal Shakti,Madhya Pradesh,Bhopal,2019-20,535.9,409.38,399.02,274526,74.5
Jal Jeevan Mission,Jal Shakti,Madhya Pradesh,Bhopal,2020-21,555.89,421.81,408.51,203438,73.5
Jal Jeevan Mission,Jal Shakti,Madhya Pradesh,Bhopal,2021-22,653.55,584.04,435.96,202721,66.7
Jal Jeevan Mission,Jal Shakti,Madhya Pradesh,Bhopal,2022-23,744.8,652.69,558.74,400058,75
Jal Jeevan Mission,Jal Shakti,Madhya Pradesh,Bhopal,2023-24,985.19,747.95,620.42,76932,63
Jal Jeevan Mission,Jal Shakti,Madhya Pradesh,Bhopal,2024-25,1280.4,1280.4,1148.23,694679,89.7
Jal Jeevan Mission,Jal Shakti,Madhya Pradesh,Bhopal,2025-26,1701.72,1210.43,1022.47,807751,60.1
AMRUT 2.0,Urban Affairs,Karnataka,Bengaluru Urban,2019-20,182.64,166.38,130.51,85354,71.5
AMRUT 2.0,Urban Affairs,Karnataka,Bengaluru Urban,2020-21,186.13,105.04,88.56,69608,47.6
AMRUT 2.0,Urban Affairs,Karnataka,Bengaluru Urban,2021-22,197.21,187.15,167.22,110365,84.8
AMRUT 2.0,Urban Affairs,Karnataka,Bengaluru Urban,2022-23,218.76,198.1,178.49,105845,81.6
AMRUT 2.0,Urban Affairs,Karnataka,Bengaluru Urban,2023-24,292.02,273.92,260.03,124034,89
AMRUT 2.0,Urban Affairs,Karnataka,Bengaluru Urban,2024-25,384.96,384.96,341.8,173976,88.8
AMRUT 2.0,Urban Affairs,Karnataka,Bengaluru Urban,2025-26,507.52,383.29,353.76,130537,69.7
AMRUT 2.0,Urban Affairs,Punjab,Amritsar,2019-20,386.18,289.74,235.47,165771,61
AMRUT 2.0,Urban Affairs,Punjab,Amritsar,2020-21,455.72,341.35,328.54,51909,72.1
AMRUT 2.0,Urban Affairs,Punjab,Amritsar,2021-22,512.83,428.82,288.98,110390,56.4
AMRUT 2.0,Urban Affairs,Punjab,Amritsar,2022-23,623.72,573.25,474.33,383733,76
AMRUT 2.0,Urban Affairs,Punjab,Amritsar,2023-24,778.79,616.75,348.54,83998,44.8
AMRUT 2.0,Urban Affairs,Punjab,Amritsar,2024-25,949.56,801.94,632.69,184113,66.6
AMRUT 2.0,Urban Affairs,Punjab,Amritsar,2025-26,1238.58,1066.11,733.07,612847,59.2
AMRUT 2.0,Urban Affairs,Bihar,Muzaffarpur,2019-20,672.9,650.27,479.3,59433,71.2
AMRUT 2.0,Urban Affairs,Bihar,Muzaffarpur,2020-21,672.6,425.24,410.62,290308,61
AMRUT 2.0,Urban Affairs,Bihar,Muzaffarpur,2021-22,729,535.29,420.64,107263,57.7
AMRUT 2.0,Urban Affairs,Bihar,Muzaffarpur,2022-23,866.24,746.51,584.85,243882,67.5
AMRUT 2.0,Urban Affairs,Bihar,Muzaffarpur,2023-24,1096.09,1066.35,804.25,486571,73.4
AMRUT 2.0,Urban Affairs,Bihar,Muzaffarpur,2024-25,1466.59,1196.37,1081.79,726963,73.8
AMRUT 2.0,Urban Affairs,Bihar,Muzaffarpur,2025-26,2110.07,1889.93,1654.18,937920,78.4
AMRUT 2.0,Urban Affairs,Uttar Pradesh,Varanasi,2019-20,771.91,748.28,748.28,620324,96.9
AMRUT 2.0,Urban Affairs,Uttar Pradesh,Varanasi,2020-21,823.71,543.37,406.55,74399,49.4
AMRUT 2.0,Urban Affairs,Uttar Pradesh,Varanasi,2021-22,982.91,776.72,440.62,81515,44.8
AMRUT 2.0,Urban Affairs,Uttar Pradesh,Varanasi,2022-23,1166.62,1151.57,964.72,844130,82.7
AMRUT 2.0,Urban Affairs,Uttar Pradesh,Varanasi,2023-24,1393.78,1081.04,942.76,734410,67.6
AMRUT 2.0,Urban Affairs,Uttar Pradesh,Varanasi,2024-25,1797.21,1371.1,1319.93,423698,73.4
AMRUT 2.0,Urban Affairs,Uttar Pradesh,Varanasi,2025-26,2460.07,2260.35,2002.62,929216,81.4
AMRUT 2.0,Urban Affairs,Madhya Pradesh,Bhopal,2019-20,707.95,566.71,482.43,154860,68.1
AMRUT 2.0,Urban Affairs,Madhya Pradesh,Bhopal,2020-21,772.04,465.26,376.39,47802,48.8
AMRUT 2.0,Urban Affairs,Madhya Pradesh,Bhopal,2021-22,881.79,654.02,654.02,496401,74.2
AMRUT 2.0,Urban Affairs,Madhya Pradesh,Bhopal,2022-23,1070.98,899.53,795.98,646336,74.3
AMRUT 2.0,Urban Affairs,Madhya Pradesh,Bhopal,2023-24,1449.9,1204.3,1008.92,395497,69.6
AMRUT 2.0,Urban Affairs,Madhya Pradesh,Bhopal,2024-25,1980.69,1602.32,1162.23,367265,58.7
AMRUT 2.0,Urban Affairs,Madhya Pradesh,Bhopal,2025-26,2739.49,2396.7,2255.8,446648,82.3
AMRUT 2.0,Urban Affairs,Gujarat,Rajkot,2019-20,303.7,284.5,188.37,153145,62
AMRUT 2.0,Urban Affairs,Gujarat,Rajkot,2020-21,322.21,200.08,173.38,150494,53.8
AMRUT 2.0,Urban Affairs,Gujarat,Rajkot,2021-22,358.63,289.18,242.7,71354,67.7
AMRUT 2.0,Urban Affairs,Gujarat,Rajkot,2022-23,435.05,397.7,237.1,128271,54.5
AMRUT 2.0,Urban Affairs,Gujarat,Rajkot,2023-24,560.7,560.7,405.74,165136,72.4
AMRUT 2.0,Urban Affairs,Gujarat,Rajkot,2024-25,758.25,586.13,555.71,248402,73.3
AMRUT 2.0,Urban Affairs,Gujarat,Rajkot,2025-26,1008,884.84,579.11,231644,57.5
AMRUT 2.0,Urban Affairs,Madhya Pradesh,Indore,2019-20,599.46,450.46,391.53,310875,65.3
AMRUT 2.0,Urban Affairs,Madhya Pradesh,Indore,2020-21,619.49,382.55,347.04,311989,56
AMRUT 2.0,Urban Affairs,Madhya Pradesh,Indore,2021-22,666.07,496.88,489.46,394015,73.5
AMRUT 2.0,Urban Affairs,Madhya Pradesh,Indore,2022-23,740.87,720.65,682.47,354202,92.1
AMRUT 2.0,Urban Affairs,Madhya Pradesh,Indore,2023-24,905.61,866.97,699.06,100665,77.2
AMRUT 2.0,Urban Affairs,Madhya Pradesh,Indore,2024-25,1200.88,1200.88,1059.86,381550,88.3
AMRUT 2.0,Urban Affairs,Madhya Pradesh,Indore,2025-26,1541.07,1352.54,1047.06,340295,67.9
AMRUT 2.0,Urban Affairs,Uttar Pradesh,Kanpur Nagar,2019-20,795.11,684.48,657.88,394070,82.7
AMRUT 2.0,Urban Affairs,Uttar Pradesh,Kanpur Nagar,2020-21,789.47,479.29,442.59,285028,56.1
AMRUT 2.0,Urban Affairs,Uttar Pradesh,Kanpur Nagar,2021-22,855.63,718.98,625.89,559546,73.1
AMRUT 2.0,Urban Affairs,Uttar Pradesh,Kanpur Nagar,2022-23,894.03,766.05,766.05,305654,85.7
AMRUT 2.0,Urban Affairs,Uttar Pradesh,Kanpur Nagar,2023-24,1058.61,797.93,566,383182,53.5
AMRUT 2.0,Urban Affairs,Uttar Pradesh,Kanpur Nagar,2024-25,1423.96,1154.44,997.17,163536,70
AMRUT 2.0,Urban Affairs,Uttar Pradesh,Kanpur Nagar,2025-26,2045.41,1660.7,1557.78,386329,76.2
AMRUT 2.0,Urban Affairs,Punjab,Ludhiana,2019-20,631.06,626.81,493.57,380049,78.2
AMRUT 2.0,Urban Affairs,Punjab,Ludhiana,2020-21,684.3,421.67,331.8,68351,48.5
AMRUT 2.0,Urban Affairs,Punjab,Ludhiana,2021-22,782.19,746.58,536.21,391433,68.6
AMRUT 2.0,Urban Affairs,Punjab,Ludhiana,2022-23,896.54,661.42,582.22,333030,64.9
AMRUT 2.0,Urban Affairs,Punjab,Ludhiana,2023-24,1070.01,940.48,806.54,186311,75.4
AMRUT 2.0,Urban Affairs,Punjab,Ludhiana,2024-25,1400.21,1082.69,1082.69,430911,77.3
AMRUT 2.0,Urban Affairs,Punjab,Ludhiana,2025-26,1875.42,1340.56,944.05,124615,50.3
AMRUT 2.0,Urban Affairs,Tamil Nadu,Tiruchirappalli,2019-20,361.95,293.86,239.5,181781,66.2
AMRUT 2.0,Urban Affairs,Tamil Nadu,Tiruchirappalli,2020-21,391.89,245.13,241.23,151492,61.6
AMRUT 2.0,Urban Affairs,Tamil Nadu,Tiruchirappalli,2021-22,443.81,359.68,305.25,252747,68.8
AMRUT 2.0,Urban Affairs,Tamil Nadu,Tiruchirappalli,2022-23,528.08,394.6,241.77,119434,45.8
AMRUT 2.0,Urban Affairs,Tamil Nadu,Tiruchirappalli,2023-24,696.64,587.81,437.49,309743,62.8
AMRUT 2.0,Urban Affairs,Tamil Nadu,Tiruchirappalli,2024-25,879.16,842.54,759.38,476131,86.4
AMRUT 2.0,Urban Affairs,Tamil Nadu,Tiruchirappalli,2025-26,1247.63,1162.63,801.76,345559,64.3
AMRUT 2.0,Urban Affairs,Kerala,Ernakulam,2019-20,638.23,625.34,609.35,530135,95.5
AMRUT 2.0,Urban Affairs,Kerala,Ernakulam,2020-21,635.93,427.41,427.41,177803,67.2
AMRUT 2.0,Urban Affairs,Kerala,Ernakulam,2021-22,787.85,588.34,466.86,397298,59.3
AMRUT 2.0,Urban Affairs,Kerala,Ernakulam,2022-23,933.91,613.86,613.86,111723,65.7
AMRUT 2.0,Urban Affairs,Kerala,Ernakulam,2023-24,1132.79,1132.79,734.94,426265,64.9
AMRUT 2.0,Urban Affairs,Kerala,Ernakulam,2024-25,1458.98,1307.05,1301.08,1163166,89.2
AMRUT 2.0,Urban Affairs,Kerala,Ernakulam,2025-26,1983.76,1865.09,1402.64,662046,70.7
AMRUT 2.0,Urban Affairs,Tamil Nadu,Coimbatore,2019-20,637.8,520.41,369.39,58733,57.9
AMRUT 2.0,Urban Affairs,Tamil Nadu,Coimbatore,2020-21,695.08,459.97,457.89,376386,65.9
AMRUT 2.0,Urban Affairs,Tamil Nadu,Coimbatore,2021-22,777.06,652.2,526.4,451125,67.7
AMRUT 2.0,Urban Affairs,Tamil Nadu,Coimbatore,2022-23,888.26,822.2,715.08,243842,80.5
AMRUT 2.0,Urban Affairs,Tamil Nadu,Coimbatore,2023-24,1083.44,993.91,757.51,474201,69.9
AMRUT 2.0,Urban Affairs,Tamil Nadu,Coimbatore,2024-25,1469.31,1235.3,899.91,701030,61.2
AMRUT 2.0,Urban Affairs,Tamil Nadu,Coimbatore,2025-26,1971.35,1546.53,995.04,411947,50.5
Swachh Bharat Mission Urban,Urban Affairs,Jharkhand,Ranchi,2019-20,824.2,824.2,535.37,457206,65
Swachh Bharat Mission Urban,Urban Affairs,Jharkhand,Ranchi,2020-21,862.72,548.45,500.8,365083,58
Swachh Bharat Mission Urban,Urban Affairs,Jharkhand,Ranchi,2021-22,989.53,958.28,825.77,173412,83.5
Swachh Bharat Mission Urban,Urban Affairs,Jharkhand,Ranchi,2022-23,1069.2,916.97,652.06,544470,61
Swachh Bharat Mission Urban,Urban Affairs,Jharkhand,Ranchi,2023-24,1292.05,1131.32,849.96,558424,65.8
Swachh Bharat Mission Urban,Urban Affairs,Jharkhand,Ranchi,2024-25,1715.44,1502.47,1308.78,778724,76.3
Swachh Bharat Mission Urban,Urban Affairs,Jharkhand,Ranchi,2025-26,2420.26,1811.49,1045.17,692948,43.2
Swachh Bharat Mission Urban,Urban Affairs,Odisha,Ganjam,2019-20,117.09,102.08,94.04,75138,80.3
Swachh Bharat Mission Urban,Urban Affairs,Odisha,Ganjam,2020-21,121.99,88.4,72.54,28218,59.5
Swachh Bharat Mission Urban,Urban Affairs,Odisha,Ganjam,2021-22,131.72,115.99,112.35,99992,85.3
Swachh Bharat Mission Urban,Urban Affairs,Odisha,Ganjam,2022-23,162.43,122.16,93.41,73607,57.5
Swachh Bharat Mission Urban,Urban Affairs,Odisha,Ganjam,2023-24,199.37,145.96,117.63,27173,59
Swachh Bharat Mission Urban,Urban Affairs,Odisha,Ganjam,2024-25,252.7,230.11,230.11,90433,91.1
Swachh Bharat Mission Urban,Urban Affairs,Odisha,Ganjam,2025-26,336.29,336.29,264.76,102992,78.7
Swachh Bharat Mission Urban,Urban Affairs,Punjab,Amritsar,2019-20,497.9,387.33,209.02,179966,42
Swachh Bharat Mission Urban,Urban Affairs,Punjab,Amritsar,2020-21,494.45,281.94,275.77,49914,55.8
Swachh Bharat Mission Urban,Urban Affairs,Punjab,Amritsar,2021-22,615.86,546.51,331.32,44066,53.8
Swachh Bharat Mission Urban,Urban Affairs,Punjab,Amritsar,2022-23,735.27,631.15,558.06,452587,75.9
Swachh Bharat Mission Urban,Urban Affairs,Punjab,Amritsar,2023-24,923.68,659.12,596.01,142446,64.5
Swachh Bharat Mission Urban,Urban Affairs,Punjab,Amritsar,2024-25,1166.94,829.68,621.74,155435,53.3
Swachh Bharat Mission Urban,Urban Affairs,Punjab,Amritsar,2025-26,1550.19,1405.31,1303.15,796225,84.1
Swachh Bharat Mission Urban,Urban Affairs,Madhya Pradesh,Indore,2019-20,577.78,447.44,324.53,178816,56.2
Swachh Bharat Mission Urban,Urban Affairs,Madhya Pradesh,Indore,2020-21,599.44,501.49,445.49,111818,74.3
Swachh Bharat Mission Urban,Urban Affairs,Madhya Pradesh,Indore,2021-22,683.04,523.21,351.52,178221,51.5
Swachh Bharat Mission Urban,Urban Affairs,Madhya Pradesh,Indore,2022-23,764.94,707.89,572.48,106481,74.8
Swachh Bharat Mission Urban,Urban Affairs,Madhya Pradesh,Indore,2023-24,892.81,702.38,533.17,404143,59.7
Swachh Bharat Mission Urban,Urban Affairs,Madhya Pradesh,Indore,2024-25,1137.77,1103.82,855.69,697387,75.2
Swachh Bharat Mission Urban,Urban Affairs,Madhya Pradesh,Indore,2025-26,1522.96,1402.9,815.33,336731,53.5
Swachh Bharat Mission Urban,Urban Affairs,Bihar,Patna,2019-20,586.47,586.47,483.76,273324,82.5
Swachh Bharat Mission Urban,Urban Affairs,Bihar,Patna,2020-21,588.09,437.68,397.84,172265,67.6
Swachh Bharat Mission Urban,Urban Affairs,Bihar,Patna,2021-22,628.57,525.56,259.46,67979,41.3
Swachh Bharat Mission Urban,Urban Affairs,Bihar,Patna,2022-23,716.7,523.48,390.13,250463,54.4
Swachh Bharat Mission Urban,Urban Affairs,Bihar,Patna,2023-24,958.1,776.28,583.8,287230,60.9
Swachh Bharat Mission Urban,Urban Affairs,Bihar,Patna,2024-25,1220.38,974.93,817.77,219162,67
Swachh Bharat Mission Urban,Urban Affairs,Bihar,Patna,2025-26,1800.85,1800.85,1455.11,660620,80.8
Swachh Bharat Mission Urban,Urban Affairs,Andhra Pradesh,Guntur,2019-20,506.15,367.62,367.62,62863,72.6
Swachh Bharat Mission Urban,Urban Affairs,Andhra Pradesh,Guntur,2020-21,521.8,342.89,270.64,205957,51.9
Swachh Bharat Mission Urban,Urban Affairs,Andhra Pradesh,Guntur,2021-22,577.55,505.28,380.63,325439,65.9
Swachh Bharat Mission Urban,Urban Affairs,Andhra Pradesh,Guntur,2022-23,675.78,627.62,521.14,75565,77.1
Swachh Bharat Mission Urban,Urban Affairs,Andhra Pradesh,Guntur,2023-24,820.36,711.05,648.62,495546,79.1
Swachh Bharat Mission Urban,Urban Affairs,Andhra Pradesh,Guntur,2024-25,1044.91,847.8,780.04,547588,74.7
Swachh Bharat Mission Urban,Urban Affairs,Andhra Pradesh,Guntur,2025-26,1389.89,1102.72,725.26,94284,52.2
Swachh Bharat Mission Urban,Urban Affairs,Maharashtra,Pune,2019-20,423.18,414.26,340.24,266748,80.4
Swachh Bharat Mission Urban,Urban Affairs,Maharashtra,Pune,2020-21,454.16,226.74,216.25,163485,47.6
Swachh Bharat Mission Urban,Urban Affairs,Maharashtra,Pune,2021-22,504.75,504.75,504.75,393200,100
Swachh Bharat Mission Urban,Urban Affairs,Maharashtra,Pune,2022-23,607.67,484.99,421.97,122371,69.4
Swachh Bharat Mission Urban,Urban Affairs,Maharashtra,Pune,2023-24,742.78,742.78,566.11,104164,76.2
Swachh Bharat Mission Urban,Urban Affairs,Maharashtra,Pune,2024-25,941.22,739.39,595.41,485259,63.3
Swachh Bharat Mission Urban,Urban Affairs,Maharashtra,Pune,2025-26,1221.2,904.04,698.38,115931,57.2
Swachh Bharat Mission Urban,Urban Affairs,Punjab,Ludhiana,2019-20,606.33,458.64,388.51,205522,64.1
Swachh Bharat Mission Urban,Urban Affairs,Punjab,Ludhiana,2020-21,677.71,495.12,449.02,256839,66.3
Swachh Bharat Mission Urban,Urban Affairs,Punjab,Ludhiana,2021-22,780.53,780.43,520.13,207012,66.6
Swachh Bharat Mission Urban,Urban Affairs,Punjab,Ludhiana,2022-23,917.32,719.65,608.53,93714,66.3
Swachh Bharat Mission Urban,Urban Affairs,Punjab,Ludhiana,2023-24,1153.05,917.88,541.07,286226,46.9
Swachh Bharat Mission Urban,Urban Affairs,Punjab,Ludhiana,2024-25,1436.5,1153.99,1056.3,536600,73.5
Swachh Bharat Mission Urban,Urban Affairs,Punjab,Ludhiana,2025-26,1935.02,1712.92,1510.16,844179,78
Swachh Bharat Mission Urban,Urban Affairs,Kerala,Ernakulam,2019-20,848.03,848.03,638.05,122506,75.2
Swachh Bharat Mission Urban,Urban Affairs,Kerala,Ernakulam,2020-21,868.04,588.88,379.56,68700,43.7
Swachh Bharat Mission Urban,Urban Affairs,Kerala,Ernakulam,2021-22,996.96,956.14,692.26,593959,69.4
Swachh Bharat Mission Urban,Urban Affairs,Kerala,Ernakulam,2022-23,1166.3,1166.3,974.54,566208,83.6
Swachh Bharat Mission Urban,Urban Affairs,Kerala,Ernakulam,2023-24,1557.32,1086.93,733.79,588500,47.1
Swachh Bharat Mission Urban,Urban Affairs,Kerala,Ernakulam,2024-25,1935.43,1544.29,1337.99,270274,69.1
Swachh Bharat Mission Urban,Urban Affairs,Kerala,Ernakulam,2025-26,2656.66,1819.53,1702.56,975567,64.1
Swachh Bharat Mission Urban,Urban Affairs,Gujarat,Ahmedabad,2019-20,582.44,397.54,286.45,135204,49.2
Swachh Bharat Mission Urban,Urban Affairs,Gujarat,Ahmedabad,2020-21,608.19,460.79,423.47,358679,69.6
Swachh Bharat Mission Urban,Urban Affairs,Gujarat,Ahmedabad,2021-22,719.29,719.29,568.52,109724,79
Swachh Bharat Mission Urban,Urban Affairs,Gujarat,Ahmedabad,2022-23,875.29,805.86,661.58,324174,75.6
Swachh Bharat Mission Urban,Urban Affairs,Gujarat,Ahmedabad,2023-24,1081.82,735.67,718.99,327140,66.5
Swachh Bharat Mission Urban,Urban Affairs,Gujarat,Ahmedabad,2024-25,1356.93,1139.89,964.14,507138,71.1
Swachh Bharat Mission Urban,Urban Affairs,Gujarat,Ahmedabad,2025-26,1851.9,1784.37,1395.77,293112,75.4
Swachh Bharat Mission Urban,Urban Affairs,Madhya Pradesh,Gwalior,2019-20,827.09,768.08,513.1,116474,62
Swachh Bharat Mission Urban,Urban Affairs,Madhya Pradesh,Gwalior,2020-21,834.16,571.2,486.25,207143,58.3
Swachh Bharat Mission Urban,Urban Affairs,Madhya Pradesh,Gwalior,2021-22,945.8,889.65,595.11,264229,62.9
Swachh Bharat Mission Urban,Urban Affairs,Madhya Pradesh,Gwalior,2022-23,1125.59,920.62,892.38,227557,79.3
Swachh Bharat Mission Urban,Urban Affairs,Madhya Pradesh,Gwalior,2023-24,1407.84,1152.92,1015.64,279301,72.1
Swachh Bharat Mission Urban,Urban Affairs,Madhya Pradesh,Gwalior,2024-25,1830.71,1280.48,996.75,787433,54.4
Swachh Bharat Mission Urban,Urban Affairs,Madhya Pradesh,Gwalior,2025-26,2430.75,1874.53,1447.43,992937,59.5
Swachh Bharat Mission Urban,Urban Affairs,Rajasthan,Jaipur,2019-20,243.15,219.85,168.39,77965,69.3
Swachh Bharat Mission Urban,Urban Affairs,Rajasthan,Jaipur,2020-21,249.35,135.05,135.05,20258,54.2
Swachh Bharat Mission Urban,Urban Affairs,Rajasthan,Jaipur,2021-22,270.66,242.47,201.76,59317,74.5
Swachh Bharat Mission Urban,Urban Affairs,Rajasthan,Jaipur,2022-23,294.28,247.61,247.61,131233,84.1
Swachh Bharat Mission Urban,Urban Affairs,Rajasthan,Jaipur,2023-24,323.66,323.66,298.3,169733,92.2
Swachh Bharat Mission Urban,Urban Affairs,Rajasthan,Jaipur,2024-25,417.78,284.61,234.32,42178,56.1
Swachh Bharat Mission Urban,Urban Affairs,Rajasthan,Jaipur,2025-26,572.53,519.77,418.2,272248,73
PMGSY Rural Roads,Rural Development,Bihar,Patna,2019-20,187.98,167.24,140.66,85240,74.8
PMGSY Rural Roads,Rural Development,Bihar,Patna,2020-21,209.47,136.32,117.45,52030,56.1
PMGSY Rural Roads,Rural Development,Bihar,Patna,2021-22,235.73,194.85,194.85,93918,82.7
PMGSY Rural Roads,Rural Development,Bihar,Patna,2022-23,267.25,249.02,190.15,60468,71.2
PMGSY Rural Roads,Rural Development,Bihar,Patna,2023-24,353.27,310.83,221.56,118091,62.7
PMGSY Rural Roads,Rural Development,Bihar,Patna,2024-25,446.89,340.83,331.87,80313,74.3
PMGSY Rural Roads,Rural Development,Bihar,Patna,2025-26,599.81,534.08,521.35,422294,86.9
PMGSY Rural Roads,Rural Development,Punjab,Amritsar,2019-20,497.31,402.81,276.07,199599,55.5
PMGSY Rural Roads,Rural Development,Punjab,Amritsar,2020-21,521.11,341.81,249.48,201829,47.9
PMGSY Rural Roads,Rural Development,Punjab,Amritsar,2021-22,588.67,490.8,490.8,128099,83.4
PMGSY Rural Roads,Rural Development,Punjab,Amritsar,2022-23,686.35,519.38,435.84,203101,63.5
PMGSY Rural Roads,Rural Development,Punjab,Amritsar,2023-24,851,851,625.98,142097,73.6
PMGSY Rural Roads,Rural Development,Punjab,Amritsar,2024-25,1055.23,717.05,658.14,215870,62.4
PMGSY Rural Roads,Rural Development,Punjab,Amritsar,2025-26,1439.45,1068.3,838.69,528375,58.3
PMGSY Rural Roads,Rural Development,Gujarat,Rajkot,2019-20,85.34,63.55,59.57,36516,69.8
PMGSY Rural Roads,Rural Development,Gujarat,Rajkot,2020-21,87.17,69.64,55.25,25526,63.4
PMGSY Rural Roads,Rural Development,Gujarat,Rajkot,2021-22,94.4,94.4,48.12,6448,51
PMGSY Rural Roads,Rural Development,Gujarat,Rajkot,2022-23,102.55,90.42,61.13,17605,59.6
PMGSY Rural Roads,Rural Development,Gujarat,Rajkot,2023-24,123.76,123.76,88.94,18055,71.9
PMGSY Rural Roads,Rural Development,Gujarat,Rajkot,2024-25,161.26,140.96,114.14,52733,70.8
PMGSY Rural Roads,Rural Development,Gujarat,Rajkot,2025-26,217.7,179.91,121.66,86744,55.9
PMGSY Rural Roads,Rural Development,Rajasthan,Jodhpur,2019-20,503.62,429.97,373.54,264466,74.2
PMGSY Rural Roads,Rural Development,Rajasthan,Jodhpur,2020-21,579.18,371.4,360.98,248354,62.3
PMGSY Rural Roads,Rural Development,Rajasthan,Jodhpur,2021-22,655,490.66,377.7,217555,57.7
PMGSY Rural Roads,Rural Development,Rajasthan,Jodhpur,2022-23,796.29,695.72,645.56,526777,81.1
PMGSY Rural Roads,Rural Development,Rajasthan,Jodhpur,2023-24,1030.46,814.9,629.19,454904,61.1
PMGSY Rural Roads,Rural Development,Rajasthan,Jodhpur,2024-25,1289.68,1048.93,695.09,525488,53.9
PMGSY Rural Roads,Rural Development,Rajasthan,Jodhpur,2025-26,1862.94,1685.75,1374,468534,73.8
PMGSY Rural Roads,Rural Development,Andhra Pradesh,Guntur,2019-20,105.68,93.17,59.99,49552,56.8
PMGSY Rural Roads,Rural Development,Andhra Pradesh,Guntur,2020-21,113.95,71.14,49.75,12935,43.7
PMGSY Rural Roads,Rural Development,Andhra Pradesh,Guntur,2021-22,126.45,83.56,61.48,42667,48.6
PMGSY Rural Roads,Rural Development,Andhra Pradesh,Guntur,2022-23,148.09,131.56,124.61,63426,84.1
PMGSY Rural Roads,Rural Development,Andhra Pradesh,Guntur,2023-24,185.08,177.62,128.41,68443,69.4
PMGSY Rural Roads,Rural Development,Andhra Pradesh,Guntur,2024-25,248.48,205.09,154.79,27553,62.3
PMGSY Rural Roads,Rural Development,Andhra Pradesh,Guntur,2025-26,332.73,227.16,203.61,97529,61.2
PMGSY Rural Roads,Rural Development,Chhattisgarh,Raipur,2019-20,401.13,286.45,235.49,178737,58.7
PMGSY Rural Roads,Rural Development,Chhattisgarh,Raipur,2020-21,453.87,280.48,263.08,46565,58
PMGSY Rural Roads,Rural Development,Chhattisgarh,Raipur,2021-22,493.01,414.26,366.42,212890,74.3
PMGSY Rural Roads,Rural Development,Chhattisgarh,Raipur,2022-23,610.37,487.56,469.47,352103,76.9
PMGSY Rural Roads,Rural Development,Chhattisgarh,Raipur,2023-24,809.96,651.92,639.15,329801,78.9
PMGSY Rural Roads,Rural Development,Chhattisgarh,Raipur,2024-25,1100.5,925.79,763.34,589298,69.4
PMGSY Rural Roads,Rural Development,Chhattisgarh,Raipur,2025-26,1366.67,1053.8,793.89,569219,58.1
PMGSY Rural Roads,Rural Development,Tamil Nadu,Coimbatore,2019-20,53.34,49.35,43.11,32764,80.8
PMGSY Rural Roads,Rural Development,Tamil Nadu,Coimbatore,2020-21,57.72,41.78,28.75,22540,49.8
PMGSY Rural Roads,Rural Development,Tamil Nadu,Coimbatore,2021-22,67.35,60.87,55.43,43235,82.3
PMGSY Rural Roads,Rural Development,Tamil Nadu,Coimbatore,2022-23,77.77,66.82,51.05,21798,65.6
PMGSY Rural Roads,Rural Development,Tamil Nadu,Coimbatore,2023-24,95.2,73.71,54.38,32139,57.1
PMGSY Rural Roads,Rural Development,Tamil Nadu,Coimbatore,2024-25,128.04,117.57,105.91,19276,82.7
PMGSY Rural Roads,Rural Development,Tamil Nadu,Coimbatore,2025-26,175.27,175.27,150.54,99657,85.9
PMGSY Rural Roads,Rural Development,Uttarakhand,Dehradun,2019-20,44.67,38.39,28.34,15190,63.4
PMGSY Rural Roads,Rural Development,Uttarakhand,Dehradun,2020-21,48.08,35.13,24.43,13779,50.8
PMGSY Rural Roads,Rural Development,Uttarakhand,Dehradun,2021-22,51.61,40.44,38.05,6430,73.7
PMGSY Rural Roads,Rural Development,Uttarakhand,Dehradun,2022-23,64.04,56.68,27.49,13360,42.9
PMGSY Rural Roads,Rural Development,Uttarakhand,Dehradun,2023-24,71.47,60.99,54.56,15386,76.3
PMGSY Rural Roads,Rural Development,Uttarakhand,Dehradun,2024-25,97.77,81.49,54.71,21993,56
PMGSY Rural Roads,Rural Development,Uttarakhand,Dehradun,2025-26,131.98,106.63,86.31,18643,65.4
PMGSY Rural Roads,Rural Development,Maharashtra,Nashik,2019-20,699.58,572.38,371.73,222666,53.1
PMGSY Rural Roads,Rural Development,Maharashtra,Nashik,2020-21,727.23,571.12,571.12,208459,78.5
